requested_ncppb_number	returned_ncppb_number	crawl_status	current_name	name_as_received	alternative_names	country	host	year_added	year_isolated	donated_by	donors_reference	isolated_by	source_if_not_isolated_by_donor	other_collections_with_this_strain	type_strain_of_species	pathotype_strain	media	reference	pathogenicity_confirmed	australia_group	detail_url	fields_json
NCPPB 1562	NCPPB 1562	ok	Pantoea stewartii subsp. indologenes Mergaert et al. 1993	Xanthomonas annamalaiensis (cotype).	Erwinia herbicola (Lohnis 1911 ) Dye 1964	India	Pennisetum glaucum	1963	1961			G. Rangaswami 3		LMG 2631, ICMP 629, NCPPB 2275	No	No			No	No	https://ncppb.fera.co.uk/furtherinfo/1562	"{""Australia group"":""No"",""Country"":""India"",""Host"":""Pennisetum glaucum"",""Isolated by"":""G. Rangaswami 3"",""Media"":""NA"",""Name as received"":""Xanthomonas annamalaiensis (cotype)."",""Other collections with this strain (ref no)"":""LMG 2631, ICMP 629, NCPPB 2275"",""Other name(s)"":""Erwinia herbicola (Lohnis 1911 ) Dye 1964"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year Isolated"":""1961"",""Year added"":""1963""}"
NCPPB 1638	NCPPB 1638	ok	Xanthomonas cucurbitae Dowson 1939		Xanthomonas campestris	Uganda	Cucurbita pepo var. melopepo	1964	1964	A.C. Hayward		A.C. Hayward B2290			No	No	ND,YDC		No	No	https://ncppb.fera.co.uk/furtherinfo/1638	"{""Australia group"":""No"",""Country"":""Uganda"",""Donated by"":""A.C. Hayward"",""Host"":""Cucurbita pepo var. melopepo"",""Isolated by"":""A.C. Hayward B2290"",""Media"":""ND,YDC"",""Other name(s)"":""Xanthomonas campestris"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year Isolated"":""1964"",""Year added"":""1964""}"
NCPPB 1682	NCPPB 1682	ok	Pantoea anthophila Brady et al. 2009	Xanthomonas balsamivorum (cotype)	Erwinia herbicola (Lohnis 1911) Dye 1964	India	Impatiens balsamina	1964		G.Rangaswami					No	No			No	No	https://ncppb.fera.co.uk/furtherinfo/1682	"{""Australia group"":""No"",""Country"":""India"",""Donated by"":""G.Rangaswami"",""Host"":""Impatiens balsamina"",""Media"":""NA"",""Name as received"":""Xanthomonas balsamivorum (cotype)"",""Other name(s)"":""Erwinia herbicola (Lohnis 1911) Dye 1964"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year added"":""1964""}"
NCPPB 1754	NCPPB 1754	ok	Xanthomonas euvesicatoria Jones et al. 2006		Xanthomonas campestris	India	Celsia coramandeliana	1965		M.J. Thirumalachar	HACC-179	ex M.C. Srinivasan		ATCC 17992	No	No	ND,YDC		No	No	https://ncppb.fera.co.uk/furtherinfo/1754	"{""Australia group"":""No"",""Country"":""India"",""Donated by"":""M.J. Thirumalachar"",""Donors reference"":""HACC-179"",""Host"":""Celsia coramandeliana"",""Isolated by"":""ex M.C. Srinivasan"",""Media"":""ND,YDC"",""Other collections with this strain (ref no)"":""ATCC 17992"",""Other name(s)"":""Xanthomonas campestris"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year added"":""1965""}"
NCPPB 1835	NCPPB 1835	ok	Burkholderia sp.	Xanthomonas panici	Pseudomonas syringae pv. panici (Elliott 1923) Young Dye & Wilkie 1978	India		1966		ICPB XP184			ex D.W. Dye XRl ex J.V. Bhatt	ATCC 23381, ICMP 623	No	No	KB,NA,SNA	Dye, D.W. 1966. N. Z. Jl. Sci. 9: 843	No	No	https://ncppb.fera.co.uk/furtherinfo/1835	"{""Australia group"":""No"",""Country"":""India"",""Donated by"":""ICPB XP184"",""Media"":""KB,NA,SNA"",""Name as received"":""Xanthomonas panici"",""Other collections with this strain (ref no)"":""ATCC 23381, ICMP 623"",""Other name(s)"":""Pseudomonas syringae pv. panici (Elliott 1923) Young Dye & Wilkie 1978"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Reference"":""Dye, D.W. 1966. N. Z. Jl. Sci. 9: 843"",""Source (if not isolated by donor)"":""ex D.W. Dye XRl ex J.V. Bhatt"",""Type strain of the species"":""No"",""Year added"":""1966""}"
NCPPB 1931	NCPPB 1931	ok	Pantoea agglomerans (Lohnis 1911) Dye 1964	Xanthomonas cosmosicola	Erwinia herbicola (Lohnis 1911) Dye 1964	New Zealand	Cosmos sulfureus	1966	1961	ICPB XC155					No	No			No	No	https://ncppb.fera.co.uk/furtherinfo/1931	"{""Australia group"":""No"",""Country"":""New Zealand"",""Donated by"":""ICPB XC155"",""Host"":""Cosmos sulfureus"",""Media"":""NA"",""Name as received"":""Xanthomonas cosmosicola"",""Other name(s)"":""Erwinia herbicola (Lohnis 1911) Dye 1964"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year Isolated"":""1961"",""Year added"":""1966""}"
NCPPB 1937	NCPPB 1937	ok	Sphingomonas sp. (Bryan and McWhorter 1930) Dye 1978	Xanthomonas campestris pv. papavericola		USA		1966	1955	ICPB XP161		ex P.A. Ark		ATCC 14180, LMG 7434	No	No	ND,YDC		No	No	https://ncppb.fera.co.uk/furtherinfo/1937	"{""Australia group"":""No"",""Country"":""USA"",""Donated by"":""ICPB XP161"",""Isolated by"":""ex P.A. Ark"",""Media"":""ND,YDC"",""Name as received"":""Xanthomonas campestris pv. papavericola"",""Other collections with this strain (ref no)"":""ATCC 14180, LMG 7434"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year Isolated"":""1955"",""Year added"":""1966""}"
NCPPB 1941	NCPPB 1941	ok	Pantoea anthophila Brady et al. 2009	Xanthomonas tagetis	Erwinia herbicola (Lohnis 1911 ) Dye 1964		Tagetes erecta	1966		ICPB XT113				LMG 2560	No	No			No	No	https://ncppb.fera.co.uk/furtherinfo/1941	"{""Australia group"":""No"",""Donated by"":""ICPB XT113"",""Host"":""Tagetes erecta"",""Media"":""NA"",""Name as received"":""Xanthomonas tagetis"",""Other collections with this strain (ref no)"":""LMG 2560"",""Other name(s)"":""Erwinia herbicola (Lohnis 1911 ) Dye 1964"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year added"":""1966""}"
NCPPB 2275	NCPPB 2275	ok	Pantoea stewartii subsp. indologenes Mergaert et al. 1993	Xanthomonas annamalaiensis	Erwinia herbicola (Lohnis 1911 ) Dye 1964	India	Pennisetum glaucum	1970		D.W. Dye	XU1			LMG 2631, LMG 2629, ICMP 629	No	No		Dye, D.W. 1966. N. Z. Jl. Sci. 9: 843	No	No	https://ncppb.fera.co.uk/furtherinfo/2275	"{""Australia group"":""No"",""Country"":""India"",""Donated by"":""D.W. Dye"",""Donors reference"":""XU1"",""Host"":""Pennisetum glaucum"",""Media"":""NA"",""Name as received"":""Xanthomonas annamalaiensis"",""Other collections with this strain (ref no)"":""LMG 2631, LMG 2629, ICMP 629"",""Other name(s)"":""Erwinia herbicola (Lohnis 1911 ) Dye 1964"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Reference"":""Dye, D.W. 1966. N. Z. Jl. Sci. 9: 843"",""Type strain of the species"":""No"",""Year added"":""1970""}"
NCPPB 2276	NCPPB 2276	ok	Pantoea anthophila Gavini et al. 1989	Xanthomonas balsimovorum	Erwinia herbicola (Lohnis 1911 ) Dye 1964	India	Impatiens balsamina	1970		D.W. Dye	WM1	ex G. Rangaswami		LMG 2562, ICMP 1373	No	No		Dye, D.W. 1966. N. Z. Jl. Sci. 9: 843	No	No	https://ncppb.fera.co.uk/furtherinfo/2276	"{""Australia group"":""No"",""Country"":""India"",""Donated by"":""D.W. Dye"",""Donors reference"":""WM1"",""Host"":""Impatiens balsamina"",""Isolated by"":""ex G. Rangaswami"",""Media"":""NA"",""Name as received"":""Xanthomonas balsimovorum"",""Other collections with this strain (ref no)"":""LMG 2562, ICMP 1373"",""Other name(s)"":""Erwinia herbicola (Lohnis 1911 ) Dye 1964"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Reference"":""Dye, D.W. 1966. N. Z. Jl. Sci. 9: 843"",""Type strain of the species"":""No"",""Year added"":""1970""}"
NCPPB 2279	NCPPB 2279	ok	Pantoea dispersa Gavini et al. 1989	Xanthomonas esculenti	Erwinia herbicola (Lohnis 1911 ) Dye 1964	India	Hibiscus esculentus	1970		D.W. Dye	WPl	ex G. Rangaswami		LMG 2601, ICMP 1377	No	No		Dye, D.W. 1966. N. Z. Jl. Sci. 9: 843	No	No	https://ncppb.fera.co.uk/furtherinfo/2279	"{""Australia group"":""No"",""Country"":""India"",""Donated by"":""D.W. Dye"",""Donors reference"":""WPl"",""Host"":""Hibiscus esculentus"",""Isolated by"":""ex G. Rangaswami"",""Media"":""NA"",""Name as received"":""Xanthomonas esculenti"",""Other collections with this strain (ref no)"":""LMG 2601, ICMP 1377"",""Other name(s)"":""Erwinia herbicola (Lohnis 1911 ) Dye 1964"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Reference"":""Dye, D.W. 1966. N. Z. Jl. Sci. 9: 843"",""Type strain of the species"":""No"",""Year added"":""1970""}"
NCPPB 2280	NCPPB 2280	ok	Pantoea stewartii subsp. indologenes Mergaert et al. 1993	Xanthomonas indica	Erwinia herbicola (Lohnis 1911 ) Dye 1964	India	Setaria indica	1970	1960	D.W.Dye	XN 1	L.E. Williams	G.Rangaswami	DSMZ 22157, ATCC 51785, ICMP 77, LMG 2632	Yes	No		Indian phytopath 14, 105-107, 1961.	No	No	https://ncppb.fera.co.uk/furtherinfo/2280	"{""Australia group"":""No"",""Country"":""India"",""Donated by"":""D.W.Dye"",""Donors reference"":""XN 1"",""Host"":""Setaria indica"",""Isolated by"":""L.E. Williams"",""Name as received"":""Xanthomonas indica"",""Other collections with this strain (ref no)"":""DSMZ 22157, ATCC 51785, ICMP 77, LMG 2632"",""Other name(s)"":""Erwinia herbicola (Lohnis 1911 ) Dye 1964"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Reference"":""Indian phytopath 14, 105-107, 1961."",""Source (if not isolated by donor)"":""G.Rangaswami"",""Type strain of the species"":""Yes"",""Year Isolated"":""1960"",""Year added"":""1970""}"
NCPPB 2281	NCPPB 2281	ok	Pantoea stewartii subsp. indologenes Mergaert et al. 1993	Xanthomonas indica	Erwinia herbicola (Lohnis 1911 ) Dye 1964	India	Setaria italica	1970	1960	D.W. Dye	XN2	ex G. Rangaswami 2		LMG 2633, ICMP 81	No	No		Dye, D.W. 1966. N. Z. Jl. Sci. 9: 843	No	No	https://ncppb.fera.co.uk/furtherinfo/2281	"{""Australia group"":""No"",""Country"":""India"",""Donated by"":""D.W. Dye"",""Donors reference"":""XN2"",""Host"":""Setaria italica"",""Isolated by"":""ex G. Rangaswami 2"",""Media"":""NA"",""Name as received"":""Xanthomonas indica"",""Other collections with this strain (ref no)"":""LMG 2633, ICMP 81"",""Other name(s)"":""Erwinia herbicola (Lohnis 1911 ) Dye 1964"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Reference"":""Dye, D.W. 1966. N. Z. Jl. Sci. 9: 843"",""Type strain of the species"":""No"",""Year Isolated"":""1960"",""Year added"":""1970""}"
NCPPB 2282	NCPPB 2282	ok	Pantoea stewartii subsp. indologenes Mergaert et al. 1993	Xanthomonas penniseti	Erwinia herbicola (Lohnis 1911 ) Dye 1964	India	Pennisetum glaucum	1970	1956	D.W. Dye	XTl	ex G. Rangaswami		LMG 2634, ICMP 89	No	No		Dye, D.W. 1966. N. Z. Jl. Sci. 9: 843	No	No	https://ncppb.fera.co.uk/furtherinfo/2282	"{""Australia group"":""No"",""Country"":""India"",""Donated by"":""D.W. Dye"",""Donors reference"":""XTl"",""Host"":""Pennisetum glaucum"",""Isolated by"":""ex G. Rangaswami"",""Media"":""NA"",""Name as received"":""Xanthomonas penniseti"",""Other collections with this strain (ref no)"":""LMG 2634, ICMP 89"",""Other name(s)"":""Erwinia herbicola (Lohnis 1911 ) Dye 1964"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Reference"":""Dye, D.W. 1966. N. Z. Jl. Sci. 9: 843"",""Type strain of the species"":""No"",""Year Isolated"":""1956"",""Year added"":""1970""}"
NCPPB 2285	NCPPB 2285	ok	Pantoea dispersa Gavini et al. 1989	Xanthomonas rubrisorghi	Erwinia herbicola (Lohnis 1911 ) Dye 1964	India	Sorghum vulgare	1970		D.W. Dye	XX1	ex G. Rangaswami		LMG 2602, ICMP 625	No	No		Dye, D.W. 1966. N. Z. Jl. Sci. 9: 843	No	No	https://ncppb.fera.co.uk/furtherinfo/2285	"{""Australia group"":""No"",""Country"":""India"",""Donated by"":""D.W. Dye"",""Donors reference"":""XX1"",""Host"":""Sorghum vulgare"",""Isolated by"":""ex G. Rangaswami"",""Media"":""NA"",""Name as received"":""Xanthomonas rubrisorghi"",""Other collections with this strain (ref no)"":""LMG 2602, ICMP 625"",""Other name(s)"":""Erwinia herbicola (Lohnis 1911 ) Dye 1964"",""Pathogenicity confirmed"":""No"",""Pathotype strain"":""No"",""Reference"":""Dye, D.W. 1966. N. Z. Jl. Sci. 9: 843"",""Type strain of the species"":""No"",""Year added"":""1970""}"
NCPPB 2388	NCPPB 2388	ok	Xanthomonas campestris pv. azadirachtae (Desai et al.1966) Dye 1978			India	Melia indica (Isolated from Azadirachta indica A.	1971	1971	P.N. Patel	PA	ex J.K. Jindal		ICMP 3102, LMG 543	No	Yes	ND,YDC	Literature: Bansal, Kanika; Kumar, Sanjeet; Patil, Prabhu B. (2022)Phylo-Taxonogenomics Supports Revision of Taxonomic Status of 20 Xanthomonas Pathovars to Xanthomonas citri.Phytopathology®112(6)1201-1207. DOI: 10.1094/PHYTO-08-21-0342-SC	Yes	No	https://ncppb.fera.co.uk/furtherinfo/2388	"{""Australia group"":""No"",""Country"":""India"",""Donated by"":""P.N. Patel"",""Donors reference"":""PA"",""Host"":""Melia indica (Isolated from Azadirachta indica A."",""Isolated by"":""ex J.K. Jindal"",""Media"":""ND,YDC"",""Other collections with this strain (ref no)"":""ICMP 3102, LMG 543"",""Pathogenicity confirmed"":""Yes"",""Pathotype strain"":""Yes"",""Reference"":""Literature: Bansal, Kanika; Kumar, Sanjeet; Patil, Prabhu B. (2022)Phylo-Taxonogenomics Supports Revision of Taxonomic Status of 20 Xanthomonas Pathovars to Xanthomonas citri.Phytopathology®112(6)1201-1207. DOI: 10.1094/PHYTO-08-21-0342-SC"",""Type strain of the species"":""No"",""Year Isolated"":""1971"",""Year added"":""1971""}"
NCPPB 2473	NCPPB 2473	ok	Xanthomonas fragariae Kennedy and King 1962	Xanthomonas fragariae Kennedy and King 1962		Italy	Fragaria vesca	1972	1972			U. Mazzucchi 429 lPV-BO		ATCC 33240, LMG 710	No	No	ND,YDC		Yes	No	https://ncppb.fera.co.uk/furtherinfo/2473	"{""Australia group"":""No"",""Country"":""Italy"",""Host"":""Fragaria vesca"",""Isolated by"":""U. Mazzucchi 429 lPV-BO"",""Media"":""ND,YDC"",""Name as received"":""Xanthomonas fragariae Kennedy and King 1962"",""Other collections with this strain (ref no)"":""ATCC 33240, LMG 710"",""Pathogenicity confirmed"":""Yes"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year Isolated"":""1972"",""Year added"":""1972""}"
NCPPB 2586	NCPPB 2586	ok	Xanthomonas campestris (Pammel 1895) Dowson 1939 (Approved Lists 1980)		Xanthomonas campestris	India	Brassica juncea	1974	1972	S.Vir		S. Vir			No	No	ND,YDC		Yes	No	https://ncppb.fera.co.uk/furtherinfo/2586	"{""Australia group"":""No"",""Country"":""India"",""Donated by"":""S.Vir"",""Host"":""Brassica juncea"",""Isolated by"":""S. Vir"",""Media"":""ND,YDC"",""Other name(s)"":""Xanthomonas campestris"",""Pathogenicity confirmed"":""Yes"",""Pathotype strain"":""No"",""Type strain of the species"":""No"",""Year Isolated"":""1972"",""Year added"":""1974""}"
