review_priority	ncppb_number	ncppb_current_name	biosample_accession	organism	automatic_decision	matched_identifier	matched_identifier_type	matched_field	evidence_class	taxonomy_status	pathovar_status	review_reason	biosample_url	review_question	reviewer_decision	reviewer_notes
P2	NCPPB 586	Xanthomonas euvesicatoria pv. uppalii (Patel 1948) Harrison et al. 2023	SAMN19988992	Xanthomonas campestris pv. uppalii	accept	NCPPB 586	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988992	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 973	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	SAMEA4358958	Xanthomonas translucens pv. translucens DSM 18974	review	DSM 18974	collection_number	title	unstructured_exact_identifier	same_name	same_pathovar	exact_identifier_only_in_title	https://www.ncbi.nlm.nih.gov/biosample/SAMEA4358958	Is the title-only exact identifier sufficient when structured identity fields are incomplete?		
P2	NCPPB 976	Xanthomonas citri (ex Hasse 1915) Gabriel et al. 1989	SAMN09704274	Xanthomonas axonopodis pv. vitians	accept	NCPPB 976	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN09704274	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 976	Xanthomonas citri (ex Hasse 1915) Gabriel et al. 1989	SAMN11047482	Xanthomonas axonopodis pv. vitians	accept	CFBP 2538	collection_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN11047482	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 985	Xanthomonas phaseoli pv. dieffenbachiae (McCulloch & Pirone 1939) Constantin et al. 2016 comb. nov.	SAMN02903999	Xanthomonas citri	accept	LMG 7399	collection_number	strain	structured_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN02903999	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 1063	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN26561900	Xanthomonas euvesicatoria	accept	ICMP 5747	collection_number	strain	structured_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN26561900	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 1158	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	SAMN03142401	Xanthomonas phaseoli pv. phaseoli	accept	NCPPB 1158	ncppb_number	strain	structured_exact_identifier	compatible_synonym	pathovar_mismatch	pathovar_mismatch	https://www.ncbi.nlm.nih.gov/biosample/SAMN03142401	Is the pathovar difference a documented relabeling, or does it indicate the wrong strain record?		
P2	NCPPB 1334	Xanthomonas euvesicatoria pv. ionidii (Padhya & Patel 1963) Harrison et al. 2023	SAMN19988970	Xanthomonas campestris pv. ionidii	accept	NCPPB 1334	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988970	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 1337	Xanthomonas axonopodis pv. nakataecorchorii (Padhya & Patel 1963) Vauterin et al. 1995	SAMN42278572	Xanthomonas axonopodis pv. nakataecorchori	accept	NCPPB 1337	ncppb_number	strain	structured_exact_identifier	same_name	pathovar_mismatch	pathovar_mismatch	https://www.ncbi.nlm.nih.gov/biosample/SAMN42278572	Is the pathovar difference a documented relabeling, or does it indicate the wrong strain record?		
P2	NCPPB 1337	Xanthomonas axonopodis pv. nakataecorchorii (Padhya & Patel 1963) Vauterin et al. 1995	SAMN56511361	Xanthomonas axonopodis pv. nakataecorchori	accept	NCPPB 1337	ncppb_number	strain	structured_exact_identifier	same_name	pathovar_mismatch	pathovar_mismatch	https://www.ncbi.nlm.nih.gov/biosample/SAMN56511361	Is the pathovar difference a documented relabeling, or does it indicate the wrong strain record?		
P2	NCPPB 1495	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	SAMN03142808	Xanthomonas phaseoli pv. phaseoli	accept	NCPPB 1495	ncppb_number	strain	structured_exact_identifier	compatible_synonym	pathovar_mismatch	pathovar_mismatch	https://www.ncbi.nlm.nih.gov/biosample/SAMN03142808	Is the pathovar difference a documented relabeling, or does it indicate the wrong strain record?		
P2	NCPPB 1594	Xanthomonas axonopodis pv. nakataecorchorii (Padhya & Patel 1963) Vauterin et al. 1995	SAMN56511363	Xanthomonas axonopodis pv. nakataecorchori	accept	NCPPB 1594	ncppb_number	strain	structured_exact_identifier	same_name	pathovar_mismatch	pathovar_mismatch	https://www.ncbi.nlm.nih.gov/biosample/SAMN56511363	Is the pathovar difference a documented relabeling, or does it indicate the wrong strain record?		
P2	NCPPB 1683	Stenotrophomonas hibiscicola (Moniz 1963) Nguyen et al. 2024	SAMN02194609	Stenotrophomonas maltophilia	accept	ATCC 19867	collection_number	strain	structured_exact_identifier	same_genus_different_species	not_applicable_no_expected_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN02194609	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 1683	Stenotrophomonas hibiscicola (Moniz 1963) Nguyen et al. 2024	SAMN13507659	Stenotrophomonas maltophilia	accept	ATCC 19867	collection_number	strain	structured_exact_identifier	same_genus_different_species	not_applicable_no_expected_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN13507659	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 1757	Xanthomonas euvesicatoria pv. blepharidis (Srinivasan & Patel 1956) Harrison et al. 2023	SAMN19988973	Xanthomonas campestris pv. blepharidis	accept	NCPPB 1757	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988973	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 1758	Xanthomonas euvesicatoria pv. coriandri (Srinivasan et al. 1961) Harrison et al. 2023	SAMN19988974	Xanthomonas campestris pv. coriandri	accept	NCPPB 1758	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988974	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 1759	Xanthomonas campestris pv. bilvae Chakravarti et al. 1984	SAMEA114332028	Xanthomonas citri	accept	NCPPB 1759	ncppb_number	isolate	structured_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMEA114332028	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 1759	Xanthomonas campestris pv. bilvae Chakravarti et al. 1984	SAMN49561544	Xanthomonas citri pv. bilvae	accept	NCPPB 1759	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN49561544	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 1760	Xanthomonas euvesicatoria pv. spermacoces (Srinivasan & Patel 1956) Harrison et al. 2023	SAMN19988975	Xanthomonas campestris pv. spermacoces	accept	NCPPB 1760	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988975	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 1787	Xanthomonas euvesicatoria pv. vernoniae (Patel et al. 1968) Harrison et al. 2023	SAMN19988976	Xanthomonas campestris pv. veroniae	accept	NCPPB 1787	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	pathovar_mismatch	pathovar_mismatch	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988976	Is the pathovar difference a documented relabeling, or does it indicate the wrong strain record?		
P2	NCPPB 1828	Xanthomonas euvesicatoria pv. euphorbiae (Sabet et al.1969) Harrison et al. 2023	SAMN19988977	Xanthomonas campestris pv. euphorbiae	accept	NCPPB 1828	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988977	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 1838	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.	SAMN40354538	Xanthomonas citri pv. fuscans	accept	NCPPB 1838	ncppb_number	identity_aliases	structured_exact_identifier	same_name	pathovar_mismatch	pathovar_mismatch	https://www.ncbi.nlm.nih.gov/biosample/SAMN40354538	Is the pathovar difference a documented relabeling, or does it indicate the wrong strain record?		
P2	NCPPB 1932	Xanthomonas campestris pv. guizotiae (Yirgou 1964) Dye 1978	SAMN56511365	Xanthomonas arboricola pv. guizotiae	accept	NCPPB 1932	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN56511365	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 1933	Xanthomonas campestris pv. guizotiae (Yirgou 1964) Dye 1978	SAMN56511366	Xanthomonas arboricola pv. guizotiae	accept	NCPPB 1933	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN56511366	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 1934	Xanthomonas campestris pv. incanae (Kendrick & Baker 1942) Dye 1978	SAMN36318705	Xanthomonas campestris pv. incanae	review	NCPPB 1934	ncppb_number	title	unstructured_exact_identifier	same_name	same_pathovar	exact_identifier_only_in_title	https://www.ncbi.nlm.nih.gov/biosample/SAMN36318705	Is the title-only exact identifier sufficient when structured identity fields are incomplete?		
P2	NCPPB 1938	Xanthomonas campestris pv. plantaginis (Thornberry & Anderson 1937) Dye 1978	SAMN36318706	Xanthomonas campestris pv. plantaginis	review	NCPPB 1938	ncppb_number	title	unstructured_exact_identifier	same_name	same_pathovar	exact_identifier_only_in_title	https://www.ncbi.nlm.nih.gov/biosample/SAMN36318706	Is the title-only exact identifier sufficient when structured identity fields are incomplete?		
P2	NCPPB 1946	Xanthomonas campestris pv. raphani (White 1930) Dye 1978	SAMN36315929	Xanthomonas campestris pv. raphani	review	NCPPB 1946	ncppb_number	title	unstructured_exact_identifier	same_name	same_pathovar	exact_identifier_only_in_title	https://www.ncbi.nlm.nih.gov/biosample/SAMN36315929	Is the title-only exact identifier sufficient when structured identity fields are incomplete?		
P2	NCPPB 1946	Xanthomonas campestris pv. raphani (White 1930) Dye 1978	SAMN36368324	Xanthomonas campestris pv. campestris	accept	NCPPB 1946	ncppb_number	strain	structured_exact_identifier	same_name	pathovar_mismatch	pathovar_mismatch	https://www.ncbi.nlm.nih.gov/biosample/SAMN36368324	Is the pathovar difference a documented relabeling, or does it indicate the wrong strain record?		
P2	NCPPB 2057	Xanthomonas euvesicatoria pv. heliotropii (Sabet et al.1969) Harrison et al. 2023	SAMN19988978	Xanthomonas campestris pv. heliotropii	accept	NCPPB 2057	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988978	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 2346	Xanthomonas phaseoli pv. passiflorae (Pereira 1969) Harrison et al. 2023	SAMN19988995	Xanthomonas campestris pv. passiflorae	accept	NCPPB 2346	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988995	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 2372	Xanthomonas euvesicatoria pv. fici (Cavara 1905) Harrison et al. 2023	SAMN19988979	Xanthomonas campestris pv. fici	accept	NCPPB 2372	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988979	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 2372	Xanthomonas euvesicatoria pv. fici (Cavara 1905) Harrison et al. 2023	SAMN42175581	Xanthomonas campestris pv. fici	accept	NCPPB 2372	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN42175581	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 2373	Xanthomonas euvesicatoria pv. carissae (Moniz et al. 1964) Harrison et al. 2023	SAMN19988980	Xanthomonas campestris pv. carissae	accept	NCPPB 2373	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988980	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 2475	Xanthomonas campestris pv. viticola (Nayudu 1972) Dye 1978	SAMEA3139044	Xanthomonas citri pv. viticola	accept	LMG 965	collection_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMEA3139044	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 2475	Xanthomonas campestris pv. viticola (Nayudu 1972) Dye 1978	SAMN26688428	Xanthomonas citri pv. viticola	accept	LMG 965	collection_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN26688428	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 2498	Xanthomonas euvesicatoria pv. convolvuli (Nagarkoti et al.1973) Harrison et al. 2023	SAMN19988981	Xanthomonas campestris pv. convolvuli	accept	NCPPB 2498	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988981	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 2827	Xanthomonas cerealis pv. cerealis Tambong et al. 2024	SAMN39911788	Xanthomonas hortorum pv. hederae	review	5690	donor_reference	strain	structured_exact_identifier	same_genus_different_species	pathovar_mismatch	medium_identifier_requires_corroboration; pathovar_mismatch	https://www.ncbi.nlm.nih.gov/biosample/SAMN39911788	Is the pathovar difference a documented relabeling, or does it indicate the wrong strain record?		
P2	NCPPB 2877	Xanthomonas campestris pv. cannabis Severin 1978	SAMN03164131	Xanthomonas cannabis pv. cannabis	accept	NCPPB 2877	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN03164131	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 2922	Xanthomonas sp. Dowson 1939	SAMN42485110	Xanthomonas	accept	NCPPB 2922	ncppb_number	strain	structured_exact_identifier	taxonomy_unresolved	not_applicable_no_expected_pathovar	taxonomy_unresolved	https://www.ncbi.nlm.nih.gov/biosample/SAMN42485110	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 2932	Xanthomonas euvesicatoria pv. daturae (Jain, Dange & Siradhana 1975) Harrison et al. 2023	SAMN19988982	Xanthomonas campestris pv. daturae	accept	NCPPB 2932	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988982	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 2986	Xanthomonas campestris pv. aberrans (Knosel 1961) Dye 1978	SAMN36368323	Xanthomonas campestris pv. campestris	accept	NCPPB 2986	ncppb_number	strain	structured_exact_identifier	same_name	pathovar_mismatch	pathovar_mismatch	https://www.ncbi.nlm.nih.gov/biosample/SAMN36368323	Is the pathovar difference a documented relabeling, or does it indicate the wrong strain record?		
P2	NCPPB 3005	Xanthomonas marantae Zagatto & Pereira 1963	SAMN41997674	Xanthomonas sp. NCPPB 3005	accept	NCPPB 3005	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	not_applicable_no_expected_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN41997674	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 3079	Xanthomonas euvesicatoria pv. paulliniae (Robbs, Medieros & Kimura 1982) Harrison et al. 2023	SAMN19988983	Xanthomonas campestris pv. paulliniae	accept	NCPPB 3079	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988983	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 3114	Xanthomonas citri pv. merremiae (Pant & Kulkarni 1976) Harrison et al. 2023	SAMN19988993	Xanthomonas campestris pv. merremiae	accept	NCPPB 3114	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988993	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 3162	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	SAMN22555461	Xanthomonas citri	accept	NCPPB 3162	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN22555461	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 3213	Xanthomonas campestris pv. bilvae Chakravarti et al. 1984	SAMEA114332029	Xanthomonas citri	accept	NCPPB 3213	ncppb_number	isolate	structured_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMEA114332029	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 3213	Xanthomonas campestris pv. bilvae Chakravarti et al. 1984	SAMEA3121378	Xanthomonas citri pv. bilvae	accept	NCPPB 3213	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMEA3121378	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 3213	Xanthomonas campestris pv. bilvae Chakravarti et al. 1984	SAMN49561543	Xanthomonas citri pv. bilvae	accept	NCPPB 3213	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_pathovar	same_genus_different_species	https://www.ncbi.nlm.nih.gov/biosample/SAMN49561543	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 3234	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	SAMEA114332007	Xanthomonas citri pv. citri	review	XC62	donor_reference	isolate	structured_exact_identifier	same_name	same_pathovar	medium_identifier_requires_corroboration	https://www.ncbi.nlm.nih.gov/biosample/SAMEA114332007	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 3237	Xanthomonas citri pv. aurantifolii (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	SAMEA114332008	Xanthomonas citri pv. aurantifolii	review	XC69	donor_reference	isolate	structured_exact_identifier	same_name	same_pathovar	medium_identifier_requires_corroboration	https://www.ncbi.nlm.nih.gov/biosample/SAMEA114332008	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 3237	Xanthomonas citri pv. aurantifolii (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	SAMN23026106	Xanthomonas hortorum pv. gardneri	review	XC69	donor_reference	strain	structured_exact_identifier	same_genus_different_species	pathovar_mismatch	medium_identifier_requires_corroboration; pathovar_mismatch	https://www.ncbi.nlm.nih.gov/biosample/SAMN23026106	Is the pathovar difference a documented relabeling, or does it indicate the wrong strain record?		
