ncppb_number	identifier_raw	identifier_normalized	identifier_type	clause_type	clause_order	source_start	source_end	normalization_status	validation_status	identifier_strength	risk_level	search_eligible	review_reason	collision_strain_count	collision_strains	reviewer_decision	reviewer_notes
NCPPB 599	Y6	Y6	donor_reference	donor_reference	1	23	25	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 599		
NCPPB 642	423	423	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 642		
NCPPB 646	Kh2	KH2	isolate_code	isolated_by	1	40	43	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 646		
NCPPB 761	Yzl	YZL	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	high	no	digit_free_donor_reference_requires_review_before_search	1	NCPPB 761		
NCPPB 762	XAl	XAL	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	high	no	digit_free_donor_reference_requires_review_before_search	1	NCPPB 762		
NCPPB 881	Strain sombor	STRAINSOMBOR	donor_reference	donor_reference	1	23	36	comparison_only_no_source_edit	review_required	medium	high	no	digit_free_donor_reference_requires_review_before_search	1	NCPPB 881		
NCPPB 924	A26	A26	isolate_code	isolated_by	2	74	77	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 924		
NCPPB 926	A12	A12	isolate_code	isolated_by	2	74	77	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 926		
NCPPB 939	XH5	XH5	isolate_code	isolated_by	2	118	121	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 939		
NCPPB 987	XH6	XH6	isolate_code	isolated_by	2	119	122	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 987		
NCPPB 990	St3	ST3	isolate_code	isolated_by	1	48	51	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 990		
NCPPB 1143	X3	X3	isolate_code	isolated_by	1	42	44	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 1143		
NCPPB 1144	X9	X9	isolate_code	isolated_by	1	42	44	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 1144		
NCPPB 1145	X10	X10	isolate_code	isolated_by	1	42	45	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 1145		
NCPPB 1147	X13	X13	isolate_code	isolated_by	1	42	45	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 1147		
NCPPB 1148	XGl	XGL	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	high	no	digit_free_donor_reference_requires_review_before_search	1	NCPPB 1148		
NCPPB 1149	XHl	XHL	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	high	no	digit_free_donor_reference_requires_review_before_search	1	NCPPB 1149		
NCPPB 1150	Ykl	YKL	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	high	no	digit_free_donor_reference_requires_review_before_search	1	NCPPB 1150		
NCPPB 1151	YK2	YK2	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 1151		
NCPPB 1152	YK3	YK3	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 1152		
NCPPB 1153	YK4	YK4	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 1153		
NCPPB 1161	M3	M3	isolate_code	isolated_by	1	41	43	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 1161		
NCPPB 1421	S 20	S20	isolate_code	isolated_by	1	0	4	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 1421		
NCPPB 1423	S 07	S07	isolate_code	isolated_by	2	59	63	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 1423		
NCPPB 1426	S 10	S10	isolate_code	isolated_by	2	59	63	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 1426		
NCPPB 1431	S 04	S04	isolate_code	isolated_by	2	59	63	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 1431		
NCPPB 1447	19	19	donor_reference	donor_reference	1	23	25	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 1447		
NCPPB 1452	ATCC 23577	ATCC23577	collection_number	collection_list	1	61	71	comparison_only_no_source_edit	review_required	strong	high	no	identifier_collision	2	NCPPB 1452; NCPPB 2977		
NCPPB 1452	ICMP 5852	ICMP5852	collection_number	collection_list	1	41	50	comparison_only_no_source_edit	review_required	strong	high	no	identifier_collision	2	NCPPB 1452; NCPPB 2977		
NCPPB 1452	LMG 872	LMG872	collection_number	collection_list	1	52	59	comparison_only_no_source_edit	review_required	strong	high	no	identifier_collision	2	NCPPB 1452; NCPPB 2977		
NCPPB 1568	1	1	donor_reference	donor_reference	1	23	24	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 1568		
NCPPB 1585	ATCC 49072	ATCC49072	collection_number	collection_list	1	84	94	comparison_only_no_source_edit	review_required	strong	high	no	identifier_collision	2	NCPPB 1585; NCPPB 1932		
NCPPB 1585	ICMP 5743	ICMP5743	collection_number	collection_list	1	53	62	comparison_only_no_source_edit	review_required	strong	high	no	identifier_collision	2	NCPPB 1585; NCPPB 1932		
NCPPB 1585	ICPB XOlll	ICPBXOLLL	collection_number	collection_list	1	41	51	comparison_only_no_source_edit	review_required	strong	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 1585		
NCPPB 1632	B50	B50	isolate_code	source_of_isolate	1	42	45	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 1632		
NCPPB 1633	ICPB XSl	ICPBXSL	collection_number	collection_list	1	41	49	comparison_only_no_source_edit	review_required	strong	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 1633		
NCPPB 1654	F6	F6	isolate_code	isolated_by	3	123	125	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 1654		
NCPPB 1738	X.a.5	XA5	isolate_code	isolated_by	1	43	48	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 1738		
NCPPB 1758	LMG 867	LMG867	collection_number	collection_list	2	96	103	comparison_only_no_source_edit	review_required	strong	high	no	identifier_collision	2	NCPPB 1758; NCPPB 582		
NCPPB 1774	Pt3	PT3	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 1774		
NCPPB 1836	10b	10B	isolate_code	source_of_isolate	1	46	49	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 1836		
NCPPB 1932	ATCC 49072	ATCC49072	collection_number	collection_list	1	61	71	comparison_only_no_source_edit	review_required	strong	high	no	identifier_collision	2	NCPPB 1585; NCPPB 1932		
NCPPB 1932	ICMP 5743	ICMP5743	collection_number	collection_list	1	41	50	comparison_only_no_source_edit	review_required	strong	high	no	identifier_collision	2	NCPPB 1585; NCPPB 1932		
NCPPB 1933	I-2	I2	isolate_code	isolated_by	1	42	45	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 1933		
NCPPB 1935	ZT2	ZT2	isolate_code	source_of_isolate	3	151	154	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 1935		
NCPPB 1939	XP6	XP6	isolate_code	source_of_isolate	1	48	51	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 1939		
NCPPB 1942	ZQ1	ZQ1	isolate_code	source_of_isolate	1	43	46	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 1942		
NCPPB 1943	ICMP1409	ICMP1409	collection_candidate	collection_list	1	41	49	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 1944		
NCPPB 1974	CCM 1640	CCM1640	collection_candidate	collection_list	1	53	61	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 1974		
NCPPB 1974	NCIMB 9203	NCIMB9203	collection_candidate	collection_list	1	75	85	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 1974		
NCPPB 1974	NCPPB 1974	NCPPB1974	collection_candidate	collection_list	1	110	120	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 1974		
NCPPB 1981	332	332	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 1981		
NCPPB 2217	CECT 7646	CECT7646	collection_candidate	collection_list	1	52	61	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 2217		
NCPPB 2217	CNBP 1192	CNBP1192	collection_candidate	collection_list	1	62	71	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 2217		
NCPPB 2257	X32	X32	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2257		
NCPPB 2258	X42	X42	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2258		
NCPPB 2337	B63	B63	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2337		
NCPPB 2338	B99	B99	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2338		
NCPPB 2368	XPEl	XPEL	donor_reference	donor_reference	1	23	27	comparison_only_no_source_edit	review_required	medium	high	no	digit_free_donor_reference_requires_review_before_search	1	NCPPB 2368		
NCPPB 2369	XRI	XRI	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	high	no	digit_free_donor_reference_requires_review_before_search	1	NCPPB 2369		
NCPPB 2370	XH1	XH1	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2370		
NCPPB 2371	Xal	XAL	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	high	no	digit_free_donor_reference_requires_review_before_search	1	NCPPB 2371		
NCPPB 2372	XFl	XFL	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	high	no	digit_free_donor_reference_requires_review_before_search	1	NCPPB 2372		
NCPPB 2373	XCl	XCL	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	high	no	digit_free_donor_reference_requires_review_before_search	1	NCPPB 2373		
NCPPB 2374	XC2	XC2	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2374		
NCPPB 2375	Dowson 265	DOWSON265	collection_candidate	collection_list	1	46	56	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 2375		
NCPPB 2375	W.J	WJ	collection_candidate	collection_list	1	41	44	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 2375		
NCPPB 2376	Dowson 266	DOWSON266	collection_candidate	collection_list	1	46	56	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 2376		
NCPPB 2376	W.J	WJ	collection_candidate	collection_list	1	41	44	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 2376		
NCPPB 2387	PM	PM	donor_reference	donor_reference	1	23	25	comparison_only_no_source_edit	review_required	weak	high	no	digit_free_donor_reference_requires_review_before_search	1	NCPPB 2387		
NCPPB 2388	PA	PA	donor_reference	donor_reference	1	23	25	comparison_only_no_source_edit	review_required	weak	high	no	digit_free_donor_reference_requires_review_before_search	1	NCPPB 2388		
NCPPB 2389	B5	B5	donor_reference	donor_reference	1	23	25	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2389		
NCPPB 2417	YW5	YW5	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2417		
NCPPB 2436	VMl	VML	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	high	no	digit_free_donor_reference_requires_review_before_search	1	NCPPB 2436		
NCPPB 2443	23L	23L	isolate_code	isolated_by	1	41	44	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2443		
NCPPB 2444	30L	30L	isolate_code	isolated_by	1	41	44	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2444		
NCPPB 2572	555	555	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2572		
NCPPB 2573	557	557	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2573		
NCPPB 2574	558	558	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2574		
NCPPB 2575	560	560	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2575		
NCPPB 2576	561	561	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2576		
NCPPB 2597	E78	E78	isolate_code	isolated_by	2	125	128	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2597		
NCPPB 2614	NU2	NU2	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2614		
NCPPB 2615	NU3	NU3	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2615		
NCPPB 2616	NU5	NU5	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2616		
NCPPB 2876	XC7	XC7	isolate_code	isolated_by	1	40	43	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2876		
NCPPB 2877	XC8	XC8	isolate_code	isolated_by	2	137	140	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2877		
NCPPB 2935	D42	D42	isolate_code	isolated_by	2	76	79	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2935		
NCPPB 2936	XA1	XA1	isolate_code	isolated_by	2	77	80	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2936		
NCPPB 2953	Tri lb	TRILB	donor_reference	donor_reference	1	23	29	comparison_only_no_source_edit	review_required	medium	high	no	digit_free_donor_reference_requires_review_before_search	1	NCPPB 2953		
NCPPB 2955	Bt3	BT3	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2955		
NCPPB 2959	Reg	REG	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	high	no	digit_free_donor_reference_requires_review_before_search	1	NCPPB 2959		
NCPPB 2960	BII	BII	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	high	no	digit_free_donor_reference_requires_review_before_search	1	NCPPB 2960		
NCPPB 2968	X12	X12	isolate_code	source_of_isolate	3	181	184	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2968		
NCPPB 2969	ZA6	ZA6	isolate_code	isolated_by	2	134	137	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2969		
NCPPB 2970	ZI 2	ZI2	isolate_code	source_of_isolate	3	160	164	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2970		
NCPPB 2973	M.K	MK	collection_candidate	collection_list	1	65	68	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 2973		
NCPPB 2973	Patel 6	PATEL6	collection_candidate	collection_list	1	70	77	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 2973		
NCPPB 2973	YD2	YD2	isolate_code	source_of_isolate	3	191	194	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2973		
NCPPB 2977	ATCC 23577	ATCC23577	collection_number	collection_list	1	41	51	comparison_only_no_source_edit	review_required	strong	high	no	identifier_collision	2	NCPPB 1452; NCPPB 2977		
NCPPB 2977	ICMP 5852	ICMP5852	collection_number	collection_list	1	62	71	comparison_only_no_source_edit	review_required	strong	high	no	identifier_collision	2	NCPPB 1452; NCPPB 2977		
NCPPB 2977	LMG 872	LMG872	collection_number	collection_list	1	53	60	comparison_only_no_source_edit	review_required	strong	high	no	identifier_collision	2	NCPPB 1452; NCPPB 2977		
NCPPB 2977	WK2	WK2	isolate_code	source_of_isolate	3	155	158	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2977		
NCPPB 2982	PC1	PC1	isolate_code	isolated_by	2	124	127	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 2982		
NCPPB 3003	NZRCC 10031	NZRCC10031	collection_candidate	collection_list	1	53	64	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 3003		
NCPPB 3003	Z4	Z4	isolate_code	isolated_by	2	149	151	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 3003		
NCPPB 3028	X-84	X84	isolate_code	isolated_by	1	39	43	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 3028		
NCPPB 3061	R662	R662	isolate_code	isolated_by	2	100	104	comparison_only_no_source_edit	review_required	medium	high	no	identifier_collision	2	NCPPB 3061; NCPPB 3192		
NCPPB 3114	P30	P30	isolate_code	isolated_by	2	103	106	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 3114		
NCPPB 3140	120	120	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 3140		
NCPPB 3161	C6	C6	isolate_code	isolated_by	2	72	74	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 3161		
NCPPB 3177	No3	NO3	isolate_code	isolated_by	2	73	76	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 3177		
NCPPB 3192	NCPPB 3061	NCPPB3061	collection_candidate	collection_list	2	70	80	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 3192		
NCPPB 3192	R662	R662	isolate_code	isolated_by	3	124	128	comparison_only_no_source_edit	review_required	medium	high	no	identifier_collision	2	NCPPB 3061; NCPPB 3192		
NCPPB 3218	Y3	Y3	isolate_code	isolated_by	2	71	73	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 3218		
NCPPB 3230	724	724	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 3230		
NCPPB 3233	CIVEROLO XC70	CIVEROLOXC70	collection_candidate	collection_list	2	79	92	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 3233		
NCPPB 3236	B-4	B4	isolate_code	source_of_isolate	3	158	161	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 3236		
NCPPB 3236	CIVEROLO XC64	CIVEROLOXC64	collection_candidate	collection_list	2	102	115	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 3236		
NCPPB 3312	100	100	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 3312		
NCPPB 3314	109	109	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 3314		
NCPPB 3315	100	100	donor_reference	donor_reference	1	23	26	comparison_only_no_source_edit	review_required	weak	medium	no	identifier_too_weak_for_automatic_search	1	NCPPB 3315		
NCPPB 3434	NETO 68	NETO68	collection_candidate	collection_list	1	62	69	comparison_only_no_source_edit	review_required	not_searchable	high	no	unrecognised_or_digit_free_collection_identifier	1	NCPPB 3434		
