ncppb_number	current_name_raw	canonical_name	name_as_received	alternative_names	expected_genus	expected_taxid	host	country	other_references_raw	catalogue_url	source_snapshot_sha256	record_html_start	record_html_end
NCPPB 186	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas axonopodis	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Xanthomonas thysanolaenae	Xanthomonas		Thysanolaena maxima	Mauritius		https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=186		37772	41418
NCPPB 187	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas axonopodis	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978	Xanthomonas		Roystonea regia	Mauritius		https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=187		41418	44877
NCPPB 195	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria	Xanthomonas vesicatoria (Doidge 1920) Dowson 1939		Xanthomonas			Israel		https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=195		44877	47326
NCPPB 196	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris	Xanthomonas campestris (Pammel 1895) Dowson 1939		Xanthomonas		Brassica oleracea var. capitata	Mauritius		https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=196		47326	50037
NCPPB 200	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas citri	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas		Gossypium sp.	Sudan		https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=200		50037	53562
NCPPB 205	Xanthomonas hyacinthi (Wakker 1883) Vauterin et al. 1995	Xanthomonas hyacinthi	Xanthomonas hyacinthi	Xanthomonas campestris pv. hyacinthi (Wakker 1883) Dye 1978	Xanthomonas		Hyacinthus orientalis.	Netherlands		https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=205		53562	56725
NCPPB 206	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	Xanthomonas vasicola	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Xanthomonas vasicola	Xanthomonas		Zea mays	South Africa	This isolate is also in the collections; ICMP 326, LMG 8284, CFBP 7162	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=206		56725	60420
NCPPB 208	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans	X. albilineans var. paspali. See Orian (1962)		Xanthomonas		Paspalum dilatatum	Mauritius	This isolate was isolated by G. Orian PC5	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=208		60420	63146
NCPPB 210	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas citri	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas			India	This isolate was isolated by M.K. Patel	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=210		63146	66482
NCPPB 211	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri	Xanthomonas citri (Hasse 1915) Dowson	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas			India		https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=211		66482	69662
NCPPB 212	Xanthomonas citri pv. mangiferaeindicae (Patel et al. 1948) Constantin et al. 2016 comb. nov.	Xanthomonas citri			Xanthomonas			India		https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=212		69662	72147
NCPPB 220	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli	Xanthomonas phaseoli (Smith 1897) Dowson 1939	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas			USA	The source of this isolate was ex C. Elliott	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=220		72147	75406
NCPPB 226	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri	Xanthomonas citri (Hasse 1915) Dowson	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas			New Zealand		https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=226		75406	78592
NCPPB 230	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	Xanthomonas hortorum	Xanthomonas carotae Kendrick 1934	Xanthomonas campestris pv. carotae (Kendrick 1934) Dye 1978	Xanthomonas			USA		https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=230		78592	81537
NCPPB 232	Xanthomonas hortorum pv. vitians Morinière et al. 2020	Xanthomonas hortorum	X. lactucaescariolae	Xanthomonas campestris pv. vitians (Brown 1918) Dye 1978	Xanthomonas			USA		https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=232		81537	84451
NCPPB 240	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris	Xanthomonas campestris (Pammel 1895) Dowson 1939		Xanthomonas		Brassica napus	UK	"This isolate was isolated by W.J. Dowson
The source of this isolate was ."	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=240		84451	87219
NCPPB 241	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995	Xanthomonas axonopodis	Xanthomonas begoniae Takimoto 1934	Xanthomonas campestris pv. begoniae (Takimoto 1934) Dye 1978	Xanthomonas			USA	The source of this isolate was ex W.J. Dowson	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=241		87219	90218
NCPPB 243	Xanthomonas euvesicatoria pv. uppalii (Patel 1948) Harrison et al. 2023	Xanthomonas euvesicatoria			Xanthomonas		Ipomea muricata	India		https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=243		90218	92637
NCPPB 273	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas arboricola	Xanthomonas pruni	Xanthomonas campestris pv. pruni (Smith 1903) Dye 1978	Xanthomonas			USA	The source of this isolate was ex A.C. Brown B67	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=273		92637	95610
NCPPB 279	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris	Xanthomonas campestris (Pammel 1895) Dowson 1939		Xanthomonas		Brassica oleracea var. capitata	Malawi	This isolate was isolated by P.O. Wiehe	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=279		95610	98362
NCPPB 290	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans	Xanthomonas albilineans		Xanthomonas		Saccharum officinarum	Guyana	The donor reference is 38/2	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=290		98362	101045
NCPPB 293	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas citri	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas		Gossypium sp.	South Africa	This isolate was isolated by R.A. Lelliott	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=293		101045	104624
NCPPB 301	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli	Xanthomonas phaseoli (Smith 1897) Dowson 1939	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas			Canada		https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=301		104624	107838
NCPPB 302	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli	Xanthomonas phaseoli (Smith 1897) Dowson 1939	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas			Canada	"The donor reference is XP 8
The source of this isolate was ."	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=302		107838	111120
NCPPB 305	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas hortorum	Xanthomonas pelargonii	Xanthomonas campestris pv. pelargonii (Brown 1923) Dye 1978	Xanthomonas			Denmark		https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=305		111120	114058
NCPPB 315	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas citri	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas		Gossypium sp.	Uganda	The donor reference is XS52/5	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=315		114058	117618
NCPPB 347	Xanthomonas campestris pv. armoraciae (McCulloch 1929) Dye 1978	Xanthomonas campestris	Pseudomonas campestris var. armoraciae (McCulloch 1929) Krasilnikov 1949		Xanthomonas		Iberis sp.	Tanzania	"This isolate is also in the collections; ICMP 7, LMG 535
This isolate was isolated by G.B. Wallace"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=347		117618	120702
NCPPB 348	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli	Xanthomonas manihotis (Berthet & Bondar 1915) Starr 1946	Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978	Xanthomonas					https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=348		120702	123702
NCPPB 362	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas arboricola	Xanthomonas juglandis	Xanthomonas campestris pv. juglandis (Pierce 1901) Dye 1978	Xanthomonas		Juglans regia	UK		https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=362		123702	126869
NCPPB 381	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas citri	Xanthomonas phaseoli (Smith 1897) Dowson 1939	Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995 Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas		Phaseolus vulgaris	Canada	"The donor reference is ZK4
This isolate is also in the collections; ATCC 19315, LMG 826, ICMP 239, CFBP 6165
The source of this isolate was ex W.A.F. Hagborg"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=381		126869	130703
NCPPB 400	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas hortorum	Xanthomonas pelargonii	Xanthomonas campestris pv. pelargonii (Brown 1923) Dye 1978	Xanthomonas		Pelargonium zonale	Denmark	This isolate was isolated by E. Hellmers 69	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=400		130703	133927
NCPPB 403	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris	Xanthomonas campestris (Pammel 1895) Dowson 1939		Xanthomonas		Brassica sp.	New Zealand	This isolate was isolated by D.W. Dye Ql	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=403		133927	136896
NCPPB 404	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris	Xanthomonas campestris (Pammel 1895) Dowson 1939		Xanthomonas		Brassica napobrassica	New Zealand	This isolate was isolated by D.W. Dye Q2	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=404		136896	139644
NCPPB 405	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri	Xanthomonas citri (Hasse 1915) Dowson	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas		Citrus sp.	New Zealand	This isolate was isolated by D.W. Dye R1	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=405		139644	143105
NCPPB 406	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri	Xanthomonas citri (Hasse 1915) Dowson	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas		Citrus sp.(New Zealand grapefruit)	New Zealand	"The donor reference is R
This isolate was isolated by D.W. Dye R2"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=406		143105	146619
NCPPB 407	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri	Xanthomonas citri (Hasse 1915) Dowson	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas		Citrus sp.	New Zealand	This isolate was isolated by D.W. Dye R3	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=407		146619	150080
NCPPB 408	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri	Xanthomonas citri (Hasse 1915) Dowson	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas		Citrus reticulata	New Zealand	This isolate was isolated by D.W. Dye R4	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=408		150080	153548
NCPPB 409	Xanthomonas citri (Hasse 1915) Gabriel et al. 1989	Xanthomonas citri	Xanthomonas citri (Hasse 1915) Dowson	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas		Citrus limon	New Zealand	"This isolate is also in the collections; ICMP 24, LMG 682, CFBP 2525
This isolate was isolated by D.W. Dye R5"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=409		153548	157060
NCPPB 410	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri	Xanthomonas citri (Hasse 1915) Dowson	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979	Xanthomonas		Citrus sinensis	New Zealand	This isolate was isolated by D.W. Dye R6	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=410		157060	160526
NCPPB 411	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas arboricola	Xanthomonas juglandis	Xanthomonas campestris pv. juglandis (Pierce 1901) Dye 1978	Xanthomonas		Juglans regia	New Zealand	"The donor reference is S3
This isolate is also in the collections; ICMP 35, CFBP 2528, LMG 747, ATCC 49083"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=411		160526	163819
NCPPB 412	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas arboricola	Xanthomonas juglandis	Xanthomonas campestris pv. juglandis (Pierce 1901) Dye 1978	Xanthomonas		Juglans regia	New Zealand	This isolate was isolated by D.W. Dye S6	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=412		163819	167040
NCPPB 414	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas arboricola	Xanthomonas juglandis	Xanthomonas campestris pv. juglandis (Pierce 1901) Dye 1978	Xanthomonas		Juglans regia	New Zealand	This isolate was isolated by D.W. Dye S10	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=414		167040	170262
NCPPB 415	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas arboricola	Xanthomonas juglandis	Xanthomonas campestris pv. juglandis (Pierce 1901) Dye 1978	Xanthomonas		Juglans regia	New Zealand	This isolate was isolated by D.W. Dye S12	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=415		170262	173484
NCPPB 416	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas arboricola	Xanthomonas pruni	Xanthomonas campestris pv. pruni (Smith 1903) Dye 1978	Xanthomonas		Prunus sp. cv. Victory	New Zealand	"This isolate is also in the collections; ATCC 19316, ICMP 51, LMG 852, CFBP 2535
This isolate was isolated by D.W. Dye Tl"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=416		173484	177228
NCPPB 418	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas arboricola	Xanthomonas pruni	Xanthomonas campestris pv. pruni (Smith 1903) Dye 1978	Xanthomonas		Prunus salicina	New Zealand	This isolate was isolated by D.W. Dye T6	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=418		177228	180437
NCPPB 419	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas arboricola	Xanthomonas pruni	Xanthomonas campestris pv. pruni (Smith 1903) Dye 1978	Xanthomonas		Prunus persica.	New Zealand	This isolate was isolated by D.W. Dye T7	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=419		180437	183646
NCPPB 420	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas arboricola	Xanthomonas pruni	Xanthomonas campestris pv. pruni (Smith 1903) Dye 1978	Xanthomonas		Prunus persica	New Zealand	This isolate was isolated by D.W. Dye T8	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=420		183646	186854
NCPPB 421	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas arboricola	Xanthomonas pruni	Xanthomonas campestris pv. pruni (Smith 1903) Dye 1978	Xanthomonas		Prunus salicina	New Zealand	This isolate was isolated by D.W. Dye T9	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=421		186854	190063
NCPPB 422	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria	Xanthomonas vesicatoria (Doidge 1920) Dowson 1939	Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978	Xanthomonas		Solanum lycopersicum	New Zealand	"This isolate is also in the collections; ICMP 63, LMG 911, ATCC 35937
This isolate was isolated by D.W. Dye X1"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=422		190063	193379
NCPPB 423	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria	Xanthomonas vesicatoria (Doidge 1920) Dowson 1939	Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978	Xanthomonas		Solanum lycopersicum	New Zealand	"This isolate is also in the collections; ICMP 65, LMG 916
This isolate was isolated by D.W. Dye X3"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=423		193379	196682
NCPPB 424	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria	Xanthomonas vesicatoria (Doidge 1920) Dowson 1939	Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978	Xanthomonas		Solanum lycopersicum	New Zealand	"This isolate is also in the collections; ICMP 66, LMG 917
This isolate was isolated by D.W. Dye X4"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=424		196682	199985
NCPPB 425	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	Xanthomonas hortorum	Xanthomonas carotae Kendrick 1934	Xanthomonas campestris pv. carotae (Kendrick 1934) Dye 1978	Xanthomonas			Canada	"The donor reference is ZC1
The source of this isolate was ex B. Paine"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=425		199985	203010
NCPPB 457	Xanthomonas axonopodis pv. axonopodis Starr & Garces 1950	Xanthomonas axonopodis	Xanthomonas axonopodis Starr & Garces 1950		Xanthomonas		Axonopus scoparius	Colombia	"This isolate is also in the collections; ATCC 19312, ICMP 50, LMG 982, DSMZ 3585
This isolate was isolated by M.P. Starr XA103"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=457		203010	205832
NCPPB 464	Xanthomonas campestris pv. olitorii (Sabet 1957) Dye 1978	Xanthomonas campestris			Xanthomonas		Corchorus olitorius	Sudan	"This isolate is also in the collections; ICMP 359, LMG 9052
This isolate was isolated by K.A. Sabet Cor 9"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=464		205832	208665
NCPPB 465	Xanthomonas campestris pv. olitorii (Sabet 1957) Dye 1978	Xanthomonas campestris			Xanthomonas		Corchorus olitorius	Sudan	This isolate was isolated by K.A. Sabet Cor 5	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=465		208665	211124
NCPPB 466	Xanthomonas citri pv. punicae (Hingorani & Singh 1959) Constantin et al. 2016 comb. nov.	Xanthomonas citri	Xanthomonas punicae Hingorani & Singh 1959	Xanthomonas campestris pv. punicae (Hingorani & Singh 1959) Dye 1978	Xanthomonas		Punica granatum	India	"This isolate is also in the collections; ICMP 360, LMG 859
The source of this isolate was ex M.K. Hingorani"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=466		211124	214459
NCPPB 473	Xanthomonas citri pv. punicae (Hingorani & Singh 1959) Constantin et al. 2016 comb. nov.	Xanthomonas citri	Xanthomonas punicae Hingorani & Singh 1959	Xanthomonas campestris pv. punicae (Hingorani & Singh 1959) Dye 1978	Xanthomonas		Punica granatum	India	The source of this isolate was ex M.K. Hingorani	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=473		214459	217730
NCPPB 476	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria	Xanthomonas vesicatoria (Doidge 1920) Dowson 1939		Xanthomonas		Capsicum frutescens var. tongum (chilli)	India	The source of this isolate was ex M.K. Desai	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=476		217730	220486
NCPPB 477	Xanthomonas citri pv. trichodesmae (Patel et al.1952) Harrison et al. 2023	Xanthomonas citri			Xanthomonas		Trichodesma zeylanicum	India	The source of this isolate was ex M.K. Desai	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=477		220486	222963
NCPPB 478	Xanthomonas axonopodis pv. cassiae (Kulkarni et al. 1951) Vauterin et al. 1995	Xanthomonas axonopodis	Xanthomonas cassiae	Xanthomonas campestris pv. cassiae (Kulkarni et al. 1951) Dye 1978	Xanthomonas		Cassia tora	India	The source of this isolate was ex M.K. Desai	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=478		222963	226191
NCPPB 479	Xanthomonas axonopodis pv. melhusii (Patel et al. 1952) Vauterin et al. 1995	Xanthomonas axonopodis	Xanthomonas melhusii Patel et al. 1952	Xanthomonas campestris pv. melhusii (Patel et al. 1952) Dye 1978	Xanthomonas		Tectona grandis	India	This isolate was isolated by ex M.K. Desai	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=479		226191	229437
NCPPB 480	Xanthomonas euvesicatoria pv. alfalfae (ex Riker et al. 1935) Constantin et al. 2016 comb. nov.	Xanthomonas euvesicatoria	Xanthomonas alfalfae	Xanthomonas campestris pv. alfalfae (Riker et al. 1935) Dye 1978	Xanthomonas		Medicago sativa	India	"This isolate is also in the collections; CFBP 7121
The source of this isolate was ex M.K. Desai"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=480		229437	232740
NCPPB 481	Xanthomonas axonopodis pv. desmodii (Patel 1949) Vauterin et al. 1995	Xanthomonas axonopodis	Xanthomonas desmodii Patel 1949	Xanthomonas campestris pv. desmodii (Patel 1949) Dye 1978	Xanthomonas		Desmodium diffusum	India	"This isolate is also in the collections; ATCC 11640, ICMP 315, LMG 692
This isolate was isolated by ICPB XD105
The source of this isolate was ex ICPB XD105 ex ICPB XD105"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=481		232740	236105
NCPPB 485	Xanthomonas axonopodis pv. betlicola (Patel et al. 1951) Vauterin et al. 1995	Xanthomonas axonopodis	Xanthomonas betlicola	Xanthomonas campestris pv. betlicola (Patel et al. 1951) Dye 1978	Xanthomonas		Piper betle	India	"The donor reference is XB109
The source of this isolate was ex ICPB XB109"	https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=485		236105	239366
