ncppb_number	ncppb_current_name	biosample_accession	evidence_status	bioproject_accession	project_role	project_sources	project_title	use_for_sequence_provenance	review_required	source_url
NCPPB 1060	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	SAMN03140122	confirmed	PRJNA264730	sequence_source_project	assembly_genbank_project; biosample_elink	Xanthomonas vasicola strain:NCPPB 1060 Genome sequencing	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA264730
NCPPB 1060	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	SAMN03140122	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1061	Xanthomonas campestris pv. plantaginis (Thornberry & Anderson 1937) Dye 1978	SAMN22552840	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1061	Xanthomonas campestris pv. plantaginis (Thornberry & Anderson 1937) Dye 1978	SAMN22552840	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1061	Xanthomonas campestris pv. plantaginis (Thornberry & Anderson 1937) Dye 1978	SAMN22552840	confirmed	PRJNA774128	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of Xanthomonas campestris strains from NCPPB	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA774128
NCPPB 1061	Xanthomonas campestris pv. plantaginis (Thornberry & Anderson 1937) Dye 1978	SAMN56511357	confirmed	PRJNA1437458	sequence_source_project	biosample_elink; sra_sequence_project	Genome sequencing of phylogenetically important Xanthomonas strains	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1437458
NCPPB 1062	Xanthomonas sp. Dowson 1939	SAMN42161497	confirmed	PRJNA1129555	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of unidentified Xanthomonas sp. strains from the NCPPB	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1129555
NCPPB 1062	Xanthomonas sp. Dowson 1939	SAMN42161497	confirmed	PRJNA224116	annotation_project	biosample_elink	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1062	Xanthomonas sp. Dowson 1939	SAMN42161497	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1063	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN26561900	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1063	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN26561900	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1063	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN26561900	confirmed	PRJNA814626	sequence_source_project	assembly_genbank_project; biosample_elink	Xanthomonas euvesicatoria strain:ICMP 5747 Genome sequencing and assembly	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA814626
NCPPB 1063	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN42178441	confirmed	PRJNA1129907	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1129907
NCPPB 1063	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN42178441	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1063	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN42178441	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1067	Xanthomonas sp. Dowson 1939	SAMN22555470	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1067	Xanthomonas sp. Dowson 1939	SAMN22555470	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1067	Xanthomonas sp. Dowson 1939	SAMN22555470	confirmed	PRJNA774146	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of xanthomonads from the NCPPB	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA774146
NCPPB 1068	Xanthomonas sp. Dowson 1939	SAMN42161498	confirmed	PRJNA1129555	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of unidentified Xanthomonas sp. strains from the NCPPB	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1129555
NCPPB 1068	Xanthomonas sp. Dowson 1939	SAMN42161498	confirmed	PRJNA224116	annotation_project	biosample_elink	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1068	Xanthomonas sp. Dowson 1939	SAMN42161498	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1128	Xanthomonas sp. Dowson 1939	SAMN03777426	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1128	Xanthomonas sp. Dowson 1939	SAMN03777426	confirmed	PRJNA287209	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Xanthomonas sp. NCPPB 1128 Genome sequencing and assembly	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA287209
NCPPB 1128	Xanthomonas sp. Dowson 1939	SAMN03777426	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 113	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN42178446	confirmed	PRJNA1129907	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1129907
NCPPB 113	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN42178446	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 113	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN42178446	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1131	Xanthomonas sp. Dowson 1939	SAMN00752559	confirmed	PRJNA200877	annotation_project	refseq_annotation_project		no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA200877
NCPPB 1131	Xanthomonas sp. Dowson 1939	SAMN00752559	confirmed	PRJNA73023	sequence_source_project	assembly_genbank_project; biosample_elink	Xanthomonas sp. NCPPB 1131 Genome sequencing and assembly	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA73023
NCPPB 1131	Xanthomonas sp. Dowson 1939	SAMN00752559	confirmed	PRJNA73027	sequence_source_project	biosample_elink; sra_sequence_project	Xanthomonas sacchari NCPPB 4393 Genome sequencing and assembly	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA73027
NCPPB 1131	Xanthomonas sp. Dowson 1939	SAMN56511358	confirmed	PRJNA1437458	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of phylogenetically important Xanthomonas strains	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1437458
NCPPB 1131	Xanthomonas sp. Dowson 1939	SAMN56511358	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1131	Xanthomonas sp. Dowson 1939	SAMN56511358	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1132	Xanthomonas sp. Dowson 1939	SAMN00752560	confirmed	PRJNA200878	annotation_project	refseq_annotation_project		no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA200878
NCPPB 1132	Xanthomonas sp. Dowson 1939	SAMN00752560	confirmed	PRJNA73025	sequence_source_project	assembly_genbank_project; biosample_elink	Xanthomonas sp. NCPPB 1132 Genome sequencing and assembly	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA73025
NCPPB 1132	Xanthomonas sp. Dowson 1939	SAMN00752560	confirmed	PRJNA73027	sequence_source_project	biosample_elink; sra_sequence_project	Xanthomonas sacchari NCPPB 4393 Genome sequencing and assembly	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA73027
NCPPB 1132	Xanthomonas sp. Dowson 1939	SAMN56511359	confirmed	PRJNA1437458	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of phylogenetically important Xanthomonas strains	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1437458
NCPPB 1132	Xanthomonas sp. Dowson 1939	SAMN56511359	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1132	Xanthomonas sp. Dowson 1939	SAMN56511359	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1138	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	SAMN03262510	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1138	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	SAMN03262510	confirmed	PRJNA270012	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Xanthomonas phaseoli pv. phaseoli strain:NCPPB 1138 Genome sequencing and assembly	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA270012
NCPPB 1138	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	SAMN03262510	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1144	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN43286083	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1144	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN43286083	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1144	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN43286083	confirmed	PRJNA774128	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of Xanthomonas campestris strains from NCPPB	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA774128
NCPPB 1155	Xanthomonas dyei pv. laureliae (Dye 1963) Young et al. 2010	SAMN56511360	confirmed	PRJNA1437458	sequence_source_project	biosample_elink; sra_sequence_project	Genome sequencing of phylogenetically important Xanthomonas strains	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1437458
NCPPB 1158	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	SAMN03142401	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1158	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	SAMN03142401	confirmed	PRJNA264774	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Xanthomonas phaseoli pv. phaseoli strain:NCPPB 1158 Genome sequencing and assembly	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA264774
NCPPB 1158	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	SAMN03142401	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1159	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	SAMN01090336	confirmed	PRJNA163795	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Xanthomonas phaseoli pv. manihotis str. NCPPB 1159 Genome sequencing and assembly	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA163795
NCPPB 1159	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	SAMN01090336	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1159	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	SAMN01090336	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1241	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	SAMN03140147	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1241	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	SAMN03140147	confirmed	PRJNA264614	sequence_source_project	assembly_genbank_project; biosample_elink	Xanthomonas vasicola strain:NCPPB 1241 Genome sequencing and assembly	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA264614
NCPPB 1241	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	SAMN03140147	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1324	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN42178442	confirmed	PRJNA1129907	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1129907
NCPPB 1324	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN42178442	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1324	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN42178442	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1325	Xanthomonas sp. Dowson 1939	SAMN42161499	confirmed	PRJNA1129555	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of unidentified Xanthomonas sp. strains from the NCPPB	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1129555
NCPPB 1325	Xanthomonas sp. Dowson 1939	SAMN42161499	confirmed	PRJNA224116	annotation_project	biosample_elink	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1325	Xanthomonas sp. Dowson 1939	SAMN42161499	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1326	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN00991247	confirmed	PRJNA73853	sequence_source_project	biosample_elink; sra_sequence_project	Xanthomonas vasicola pv. vasculorum NCPPB 1326 Genome sequencing and assembly	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA73853
NCPPB 1326	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN02471728	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1326	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN02471728	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1326	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN02471728	confirmed	PRJNA73853	sequence_source_project	assembly_genbank_project; biosample_elink	Xanthomonas vasicola pv. vasculorum NCPPB 1326 Genome sequencing and assembly	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA73853
NCPPB 1326	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357974	confirmed	PRJNA992549	biosample_elink_only	biosample_elink	Re-sequencing of X. vasicola strains at Fera	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA992549
NCPPB 1326	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36701288	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1326	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36701288	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1326	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36701288	confirmed	PRJNA992549	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Re-sequencing of X. vasicola strains at Fera	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA992549
NCPPB 1334	Xanthomonas euvesicatoria pv. ionidii (Padhya & Patel 1963) Harrison et al. 2023	SAMN19988970	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1334	Xanthomonas euvesicatoria pv. ionidii (Padhya & Patel 1963) Harrison et al. 2023	SAMN19988970	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1334	Xanthomonas euvesicatoria pv. ionidii (Padhya & Patel 1963) Harrison et al. 2023	SAMN19988970	confirmed	PRJNA742925	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of pathotype strains of Xanthomonas	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA742925
NCPPB 1336	Xanthomonas euvesicatoria pv. alangii (Padhya & Patel 1962) Constantin et al. 2016 comb. nov.	SAMN19988971	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1336	Xanthomonas euvesicatoria pv. alangii (Padhya & Patel 1962) Constantin et al. 2016 comb. nov.	SAMN19988971	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1336	Xanthomonas euvesicatoria pv. alangii (Padhya & Patel 1962) Constantin et al. 2016 comb. nov.	SAMN19988971	confirmed	PRJNA742925	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of pathotype strains of Xanthomonas	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA742925
NCPPB 1337	Xanthomonas axonopodis pv. nakataecorchorii (Padhya & Patel 1963) Vauterin et al. 1995	SAMN42278572	confirmed	PRJNA224116	annotation_project	biosample_elink; refseq_annotation_project	Refseq Prokaryotic Genome Annotation Project	no	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 1337	Xanthomonas axonopodis pv. nakataecorchorii (Padhya & Patel 1963) Vauterin et al. 1995	SAMN42278572	confirmed	PRJNA608517	biosample_elink_only	biosample_elink	The Lactobacillus genus, a use case for Bactopia.	no	yes	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 1337	Xanthomonas axonopodis pv. nakataecorchorii (Padhya & Patel 1963) Vauterin et al. 1995	SAMN42278572	confirmed	PRJNA742925	sequence_source_project	assembly_genbank_project; biosample_elink; sra_sequence_project	Genome sequencing of pathotype strains of Xanthomonas	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA742925
NCPPB 1337	Xanthomonas axonopodis pv. nakataecorchorii (Padhya & Patel 1963) Vauterin et al. 1995	SAMN56511361	confirmed	PRJNA1437458	sequence_source_project	biosample_elink; sra_sequence_project	Genome sequencing of phylogenetically important Xanthomonas strains	yes	no	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1437458
