sample	NCPPB-1471__Xanthomonas_citri	NCPPB_1056__Xanthomonas_citri	NCPPB_1058__Xanthomonas_citri	NCPPB_1158__Xanthomonas_citri	NCPPB_1335__Xanthomonas_citri	NCPPB_1402__Xanthomonas_citri	NCPPB_1433__Xanthomonas_citri	NCPPB_1495__Xanthomonas_citri	NCPPB_1654__Xanthomonas_citri	NCPPB_1713__Xanthomonas_citri	NCPPB_1827__Xanthomonas_citri	NCPPB_1838__Xanthomonas_citri	NCPPB_2058__Xanthomonas_citri	NCPPB_2060__Xanthomonas_citri	NCPPB_2063__Xanthomonas_citri	NCPPB_2064__Xanthomonas_citri	NCPPB_211__Xanthomonas_citri	NCPPB_226__Xanthomonas_citri	NCPPB_2665__Xanthomonas_citri	NCPPB_2832__Xanthomonas_citri	NCPPB_2914__Xanthomonas_citri	NCPPB_3086__Xanthomonas_citri	NCPPB_3114__Xanthomonas_citri	NCPPB_3162__Xanthomonas_citri	NCPPB_3562__Xanthomonas_citri	NCPPB_381__Xanthomonas_citri	NCPPB_406__Xanthomonas_citri	NCPPB_4590__Xanthomonas_citri	NCPPB_536__Xanthomonas_citri	NCPPB_556__Xanthomonas_citri	NCPPB_557__Xanthomonas_citri	NCPPB_573__Xanthomonas_citri	NCPPB_585__Xanthomonas_citri	NCPPB_633__Xanthomonas_citri	NCPPB_646__Xanthomonas_citri	NCPPB_670__Xanthomonas_citri	NCPPB_976__Xanthomonas_citri
NCPPB_2063__Xanthomonas_citri	111296	39714	39725	39701	113330	40033	39654	39810	39557	112451	12747	40910	38379	12726	0	112388	111313	111301	39612	57626	10123	117720	41106	116162	111261	39753	111298	111312	110480	112389	112394	109966	37507	116182	110470	39839	116192
NCPPB_2064__Xanthomonas_citri	28122	109841	110119	109839	31723	109541	109881	109780	109971	2222	113803	110990	109848	113835	112388	0	28145	28126	109902	121435	111938	39825	110809	35947	28020	109966	28123	28136	40091	59	60	30314	108288	35984	40090	109794	35997
NCPPB_211__Xanthomonas_citri	366	108881	109194	108857	29100	108527	108939	108795	109039	28208	112794	110257	109254	112831	111313	28145	0	370	108954	120417	110956	37470	110081	33580	1807	109050	367	378	37909	28145	28149	19465	107158	33613	37920	108804	33650
NCPPB_226__Xanthomonas_citri	184	108881	109194	108861	29086	108529	108940	108797	109039	28189	112784	110251	109246	112821	111301	28126	370	0	108953	120414	110945	37450	110077	33566	1781	109052	17	198	37924	28126	28129	19449	107151	33593	37923	108808	33632
NCPPB_2665__Xanthomonas_citri	108945	1009	1478	420	110883	1433	367	1110	291	109932	43848	34314	31183	43823	39612	109902	108954	108953	0	49258	41005	116271	34490	114150	108922	1377	108950	108960	107882	109905	109910	108113	30757	114164	107881	1131	114180
NCPPB_2832__Xanthomonas_citri	120409	49376	49223	49363	122486	49685	49299	49477	49223	121524	61089	53019	50887	61082	57626	121435	120417	120414	49258	0	58947	127585	53189	125445	120362	49341	120411	120422	119275	121436	121439	119512	50551	125462	119273	49464	125463
NCPPB_2914__Xanthomonas_citri	110940	41106	41109	41104	112910	41444	41058	41208	40947	112000	15092	42371	39687	15082	10123	111938	110956	110945	41005	58947	0	117437	42572	115709	110892	41136	110942	110956	110187	111933	111938	109513	38765	115723	110184	41224	115729
NCPPB_3086__Xanthomonas_citri	37444	116219	116503	116212	39852	115936	116267	116160	116339	39927	118769	117416	116590	118799	117720	39825	37470	37450	116271	127585	117437	0	117260	9794	37490	116341	37447	37458	46225	39829	39831	39817	114473	9790	46226	116179	9772
NCPPB_3114__Xanthomonas_citri	110068	34508	34637	34449	112083	34532	34467	34493	34487	110910	45074	542	31603	45053	41106	110809	110081	110077	34490	53189	42572	117260	0	115269	110026	34354	110074	110083	108364	110803	110809	109140	32286	115297	108360	34527	115318
NCPPB_3162__Xanthomonas_citri	33560	114096	114381	114083	35095	113778	114130	114024	114218	36044	117553	115433	114540	117579	116162	35947	33580	33566	114150	125445	115709	9794	115269	0	33580	114213	33563	33572	42809	35946	35948	35928	112329	192	42810	114045	236
NCPPB_3562__Xanthomonas_citri	1777	108854	109161	108830	29146	108508	108911	108768	109006	28083	112747	110204	109192	112784	111261	28020	1807	1781	108922	120362	110892	37490	110026	33580	0	109021	1778	1789	37861	28016	28021	18921	107131	33608	37860	108781	33645
NCPPB_381__Xanthomonas_citri	109044	1438	1975	1414	110955	1688	1340	1471	1333	109997	43958	34209	31312	43932	39753	109966	109050	109052	1377	49341	41136	116341	34354	114213	109021	0	109049	109059	107939	109963	109968	108178	30626	114229	107936	1513	114249
NCPPB_406__Xanthomonas_citri	181	108878	109191	108858	29083	108526	108937	108794	109036	28186	112781	110248	109243	112818	111298	28123	367	17	108950	120411	110942	37447	110074	33563	1778	109049	0	195	37921	28123	28126	19446	107148	33590	37920	108805	33629
NCPPB_4590__Xanthomonas_citri	106	108888	109201	108868	29091	108537	108947	108804	109046	28199	112794	110257	109252	112831	111312	28136	378	198	108960	120422	110956	37458	110083	33572	1789	109059	195	0	37933	28136	28139	19459	107158	33601	37932	108815	33638
NCPPB_536__Xanthomonas_citri	37917	107839	108087	107833	39475	107577	107870	107800	107949	40170	111928	108515	108175	111957	110480	40091	37909	37924	107882	119275	110187	46225	108364	42809	37861	107939	37921	37933	0	40080	40083	39968	105979	42822	51	107804	42831
NCPPB_556__Xanthomonas_citri	28122	109842	110122	109840	31713	109537	109878	109775	109972	2211	113803	110983	109847	113835	112389	59	28145	28126	109905	121436	111933	39829	110803	35946	28016	109963	28123	28136	40080	0	41	30303	108286	35978	40079	109795	35999
NCPPB_557__Xanthomonas_citri	28125	109849	110127	109847	31708	109544	109883	109782	109979	2210	113808	110989	109850	113840	112394	60	28149	28129	109910	121439	111938	39831	110809	35948	28021	109968	28126	28139	40083	41	0	30308	108291	35980	40082	109802	36001
NCPPB_573__Xanthomonas_citri	19445	108061	108318	108048	31632	107763	108099	107985	108181	30378	111449	109300	108262	111479	109966	30314	19465	19449	108113	119512	109513	39817	109140	35928	18921	108178	19446	19459	39968	30303	30308	0	106222	35955	39967	108020	35971
NCPPB_585__Xanthomonas_citri	107143	30782	30967	30733	109198	30801	30741	30774	30774	108377	41665	32271	29551	41643	37507	108288	107158	107151	30757	50551	38765	114473	32286	112329	107131	30626	107148	107158	105979	108286	108291	106222	0	112361	105978	30782	112383
NCPPB_633__Xanthomonas_citri	33587	114110	114397	114097	35115	113800	114146	114040	114234	36076	117565	115451	114563	117591	116182	35984	33613	33593	114164	125462	115723	9790	115297	192	33608	114229	33590	33601	42822	35978	35980	35955	112361	0	42823	114063	128
NCPPB_646__Xanthomonas_citri	37916	107828	108075	107832	39478	107576	107861	107799	107948	40169	111914	108513	108163	111943	110470	40090	37920	37923	107881	119273	110184	46226	108360	42810	37860	107936	37920	37932	51	40079	40082	39967	105978	42823	0	107801	42832
NCPPB_670__Xanthomonas_citri	108800	536	1753	1116	110781	794	1107	587	1101	109826	44079	34407	31389	44056	39839	109794	108804	108808	1131	49464	41224	116179	34527	114045	108781	1513	108805	108815	107804	109795	109802	108020	30782	114063	107801	0	114081
NCPPB_976__Xanthomonas_citri	33626	114126	114411	114113	35121	113834	114166	114064	114250	36093	117576	115468	114573	117602	116192	35997	33650	33632	114180	125463	115729	9772	115318	236	33645	114249	33629	33638	42831	35999	36001	35971	112383	128	42832	114081	0
