ncppb_number	ncppb_current_name	biosample_accession	evidence_status	match_decision	identity_match_status	matched_identifier	identifier_strength	taxonomy_status	resource_type	resource_accession	resource_role	assembly_level	assembly_source	assembly_total_length	assembly_contig_count	assembly_contig_n50	sra_library_strategy	sra_library_source	sra_library_layout	sra_instrument	sra_total_bases	sequence_bioproject_accessions	selected_for_phylogeny	download_tool	download_command	source_url
NCPPB 113	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN42178446	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 113	primary	same_name	assembly	GCF_053571385.1	assembled_genome_sequence	Contig	RefSeq	4869387	61	323953						PRJNA1129907	yes	NCBI Datasets CLI	datasets download genome accession GCF_053571385.1 --include genome --filename NCPPB_113_GCF_053571385.1.zip	https://www.ncbi.nlm.nih.gov/assembly/GCF_053571385.1
NCPPB 113	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN42178446	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 113	primary	same_name	bioproject	PRJNA1129907	sequence_source_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1129907
NCPPB 113	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN42178446	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 113	primary	same_name	bioproject	PRJNA224116	annotation_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 113	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN42178446	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 113	primary	same_name	bioproject	PRJNA608517	biosample_elink_only												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 113	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN42178446	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 113	primary	same_name	biosample	SAMN42178446	identity_anchor												no	NCBI BioSample metadata		https://www.ncbi.nlm.nih.gov/biosample/SAMN42178446
NCPPB 113	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN42178446	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 113	primary	same_name	sra_run	SRR29654663	raw_sequence_reads						WGS	GENOMIC	paired	Illumina NovaSeq 6000	1113229500	PRJNA1129907	no	NCBI SRA Toolkit	prefetch SRR29654663 && fasterq-dump SRR29654663 --split-files --outdir fastq/NCPPB_113	https://www.ncbi.nlm.nih.gov/sra/SRR29654663
NCPPB 113	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN42178446	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 113	primary	same_name	sra_run	SRR30041332	raw_sequence_reads						WGS	GENOMIC	single	PromethION	15544984	PRJNA1129907	no	NCBI SRA Toolkit	prefetch SRR30041332 && fasterq-dump SRR30041332 --split-files --outdir fastq/NCPPB_113	https://www.ncbi.nlm.nih.gov/sra/SRR30041332
NCPPB 151	Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978	SAMN56511362	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 151	primary	same_name	bioproject	PRJNA1437458	sequence_source_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1437458
NCPPB 151	Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978	SAMN56511362	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 151	primary	same_name	biosample	SAMN56511362	identity_anchor												no	NCBI BioSample metadata		https://www.ncbi.nlm.nih.gov/biosample/SAMN56511362
NCPPB 151	Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978	SAMN56511362	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 151	primary	same_name	sra_run	SRR37629063	raw_sequence_reads						WGS	GENOMIC	paired	Illumina NovaSeq X	2630759030	PRJNA1437458	yes	NCBI SRA Toolkit	prefetch SRR37629063 && fasterq-dump SRR37629063 --split-files --outdir fastq/NCPPB_151	https://www.ncbi.nlm.nih.gov/sra/SRR37629063
NCPPB 151	Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978	SAMN56511362	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 151	primary	same_name	sra_run	SRR37789880	raw_sequence_reads						WGS	GENOMIC	single	PromethION	670631592	PRJNA1437458	yes	NCBI SRA Toolkit	prefetch SRR37789880 && fasterq-dump SRR37789880 --split-files --outdir fastq/NCPPB_151	https://www.ncbi.nlm.nih.gov/sra/SRR37789880
NCPPB 206	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN00991256	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 206	primary	same_name	assembly	GCF_000278035.1	assembled_genome_sequence	Scaffold	RefSeq	4825935	248	53489						PRJNA73871	yes	NCBI Datasets CLI	datasets download genome accession GCF_000278035.1 --include genome --filename NCPPB_206_GCF_000278035.1.zip	https://www.ncbi.nlm.nih.gov/assembly/GCF_000278035.1
NCPPB 206	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN00991256	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 206	primary	same_name	bioproject	PRJNA224116	annotation_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 206	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN00991256	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 206	primary	same_name	bioproject	PRJNA608517	biosample_elink_only												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 206	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN00991256	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 206	primary	same_name	bioproject	PRJNA73853	sequence_source_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA73853
NCPPB 206	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN00991256	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 206	primary	same_name	bioproject	PRJNA73871	sequence_source_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA73871
NCPPB 206	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN00991256	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 206	primary	same_name	biosample	SAMN00991256	identity_anchor												no	NCBI BioSample metadata		https://www.ncbi.nlm.nih.gov/biosample/SAMN00991256
NCPPB 206	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN00991256	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 206	primary	same_name	sra_run	SRR494500	raw_sequence_reads						WGS	GENOMIC	paired	Illumina Genome Analyzer IIx	392069408	PRJNA73853	no	NCBI SRA Toolkit	prefetch SRR494500 && fasterq-dump SRR494500 --split-files --outdir fastq/NCPPB_206	https://www.ncbi.nlm.nih.gov/sra/SRR494500
NCPPB 206	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357966	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 206	primary	same_name	assembly	GCF_030551425.2	assembled_genome_sequence	Contig	RefSeq	4808547	106	161371						PRJNA992549	no	NCBI Datasets CLI	datasets download genome accession GCF_030551425.2 --include genome --filename NCPPB_206_GCF_030551425.2.zip	https://www.ncbi.nlm.nih.gov/assembly/GCF_030551425.2
NCPPB 206	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357966	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 206	primary	same_name	bioproject	PRJNA224116	annotation_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 206	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357966	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 206	primary	same_name	bioproject	PRJNA608517	biosample_elink_only												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 206	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357966	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 206	primary	same_name	bioproject	PRJNA992549	sequence_source_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA992549
NCPPB 206	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357966	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 206	primary	same_name	biosample	SAMN36357966	identity_anchor												no	NCBI BioSample metadata		https://www.ncbi.nlm.nih.gov/biosample/SAMN36357966
NCPPB 206	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357966	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 206	primary	same_name	sra_run	SRR25194059	raw_sequence_reads						WGS	GENOMIC	paired	Illumina MiSeq	198235535	PRJNA992549	no	NCBI SRA Toolkit	prefetch SRR25194059 && fasterq-dump SRR25194059 --split-files --outdir fastq/NCPPB_206	https://www.ncbi.nlm.nih.gov/sra/SRR25194059
NCPPB 211	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	SAMN13783128	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 211	primary	same_name	assembly	GCF_014798375.1	assembled_genome_sequence	Contig	RefSeq	5206667	152	141304						PRJNA599566	yes	NCBI Datasets CLI	datasets download genome accession GCF_014798375.1 --include genome --filename NCPPB_211_GCF_014798375.1.zip	https://www.ncbi.nlm.nih.gov/assembly/GCF_014798375.1
NCPPB 211	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	SAMN13783128	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 211	primary	same_name	bioproject	PRJNA224116	annotation_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 211	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	SAMN13783128	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 211	primary	same_name	bioproject	PRJNA599566	sequence_source_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA599566
NCPPB 211	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	SAMN13783128	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 211	primary	same_name	biosample	SAMN13783128	identity_anchor												no	NCBI BioSample metadata		https://www.ncbi.nlm.nih.gov/biosample/SAMN13783128
NCPPB 211	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	SAMN13783128	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 211	primary	same_name	sra_run	SRR11234665	raw_sequence_reads						WGS	GENOMIC	paired	Illumina HiSeq 4000	433676786	PRJNA599566	no	NCBI SRA Toolkit	prefetch SRR11234665 && fasterq-dump SRR11234665 --split-files --outdir fastq/NCPPB_211	https://www.ncbi.nlm.nih.gov/sra/SRR11234665
NCPPB 220	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	SAMN03262509	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 220	primary	same_name	assembly	GCF_000808715.2	assembled_genome_sequence	Contig	RefSeq	5364294	191	61941						PRJNA270010	yes	NCBI Datasets CLI	datasets download genome accession GCF_000808715.2 --include genome --filename NCPPB_220_GCF_000808715.2.zip	https://www.ncbi.nlm.nih.gov/assembly/GCF_000808715.2
NCPPB 220	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	SAMN03262509	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 220	primary	same_name	bioproject	PRJNA224116	annotation_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 220	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	SAMN03262509	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 220	primary	same_name	bioproject	PRJNA270010	sequence_source_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA270010
NCPPB 220	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	SAMN03262509	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 220	primary	same_name	bioproject	PRJNA608517	biosample_elink_only												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 220	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	SAMN03262509	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 220	primary	same_name	biosample	SAMN03262509	identity_anchor												no	NCBI BioSample metadata		https://www.ncbi.nlm.nih.gov/biosample/SAMN03262509
NCPPB 220	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	SAMN03262509	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 220	primary	same_name	sra_run	SRR2052885	raw_sequence_reads						WGS	GENOMIC	paired	Illumina MiSeq	426629149	PRJNA270010	no	NCBI SRA Toolkit	prefetch SRR2052885 && fasterq-dump SRR2052885 --split-files --outdir fastq/NCPPB_220	https://www.ncbi.nlm.nih.gov/sra/SRR2052885
NCPPB 226	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	SAMN13783184	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 226	primary	same_name	assembly	GCF_014797395.1	assembled_genome_sequence	Contig	RefSeq	5145872	143	148803						PRJNA599566	yes	NCBI Datasets CLI	datasets download genome accession GCF_014797395.1 --include genome --filename NCPPB_226_GCF_014797395.1.zip	https://www.ncbi.nlm.nih.gov/assembly/GCF_014797395.1
NCPPB 226	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	SAMN13783184	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 226	primary	same_name	bioproject	PRJNA224116	annotation_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 226	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	SAMN13783184	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 226	primary	same_name	bioproject	PRJNA599566	sequence_source_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA599566
NCPPB 226	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	SAMN13783184	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 226	primary	same_name	biosample	SAMN13783184	identity_anchor												no	NCBI BioSample metadata		https://www.ncbi.nlm.nih.gov/biosample/SAMN13783184
NCPPB 226	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	SAMN13783184	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 226	primary	same_name	sra_run	SRR11234664	raw_sequence_reads						WGS	GENOMIC	paired	Illumina HiSeq 4000	495601666	PRJNA599566	no	NCBI SRA Toolkit	prefetch SRR11234664 && fasterq-dump SRR11234664 --split-files --outdir fastq/NCPPB_226	https://www.ncbi.nlm.nih.gov/sra/SRR11234664
NCPPB 230	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	SAMN40354569	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 230	primary	same_genus_different_species	assembly	GCF_040202495.1	assembled_genome_sequence	Scaffold	RefSeq	5185139	191	50296						PRJNA991976	yes	NCBI Datasets CLI	datasets download genome accession GCF_040202495.1 --include genome --filename NCPPB_230_GCF_040202495.1.zip	https://www.ncbi.nlm.nih.gov/assembly/GCF_040202495.1
NCPPB 230	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	SAMN40354569	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 230	primary	same_genus_different_species	bioproject	PRJNA224116	annotation_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 230	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	SAMN40354569	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 230	primary	same_genus_different_species	bioproject	PRJNA608517	biosample_elink_only												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 230	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	SAMN40354569	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 230	primary	same_genus_different_species	bioproject	PRJNA991976	sequence_source_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA991976
NCPPB 230	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	SAMN40354569	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 230	primary	same_genus_different_species	biosample	SAMN40354569	identity_anchor												no	NCBI BioSample metadata		https://www.ncbi.nlm.nih.gov/biosample/SAMN40354569
NCPPB 230	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	SAMN40354569	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 230	primary	same_genus_different_species	sra_run	SRR28281421	raw_sequence_reads						WGS	GENOMIC	paired	Illumina NovaSeq 6000	892214700	PRJNA991976	no	NCBI SRA Toolkit	prefetch SRR28281421 && fasterq-dump SRR28281421 --split-files --outdir fastq/NCPPB_230	https://www.ncbi.nlm.nih.gov/sra/SRR28281421
NCPPB 230	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	SAMN40354569	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 230	primary	same_genus_different_species	sra_run	SRR30293564	raw_sequence_reads						WGS	GENOMIC	single	PromethION	1354121374	PRJNA991976	no	NCBI SRA Toolkit	prefetch SRR30293564 && fasterq-dump SRR30293564 --split-files --outdir fastq/NCPPB_230	https://www.ncbi.nlm.nih.gov/sra/SRR30293564
NCPPB 232	Xanthomonas hortorum pv. vitians Morinière et al. 2020	SAMEA6962647	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 232	primary	same_name	assembly	GCF_903978195.1	assembled_genome_sequence	Complete Genome	RefSeq	5678543	4	5365193						PRJEB38812	yes	NCBI Datasets CLI	datasets download genome accession GCF_903978195.1 --include genome --filename NCPPB_232_GCF_903978195.1.zip	https://www.ncbi.nlm.nih.gov/assembly/GCF_903978195.1
NCPPB 232	Xanthomonas hortorum pv. vitians Morinière et al. 2020	SAMEA6962647	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 232	primary	same_name	bioproject	PRJEB38812	sequence_source_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJEB38812
NCPPB 232	Xanthomonas hortorum pv. vitians Morinière et al. 2020	SAMEA6962647	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 232	primary	same_name	bioproject	PRJEB38824	biosample_elink_only												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJEB38824
NCPPB 232	Xanthomonas hortorum pv. vitians Morinière et al. 2020	SAMEA6962647	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 232	primary	same_name	bioproject	PRJNA224116	annotation_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 232	Xanthomonas hortorum pv. vitians Morinière et al. 2020	SAMEA6962647	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 232	primary	same_name	bioproject	PRJNA608517	biosample_elink_only												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 232	Xanthomonas hortorum pv. vitians Morinière et al. 2020	SAMEA6962647	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 232	primary	same_name	biosample	SAMEA6962647	identity_anchor												no	NCBI BioSample metadata		https://www.ncbi.nlm.nih.gov/biosample/SAMEA6962647
NCPPB 232	Xanthomonas hortorum pv. vitians Morinière et al. 2020	SAMEA6962647	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 232	primary	same_name	sra_run	ERR4326259	raw_sequence_reads						WGS	GENOMIC	paired	Illumina MiSeq	288196395	PRJEB38812	no	NCBI SRA Toolkit	prefetch ERR4326259 && fasterq-dump ERR4326259 --split-files --outdir fastq/NCPPB_232	https://www.ncbi.nlm.nih.gov/sra/ERR4326259
NCPPB 232	Xanthomonas hortorum pv. vitians Morinière et al. 2020	SAMEA6962647	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 232	primary	same_name	sra_run	ERR4327117	raw_sequence_reads						WGS	GENOMIC	single	MinION	156759397	PRJEB38812	no	NCBI SRA Toolkit	prefetch ERR4327117 && fasterq-dump ERR4327117 --split-files --outdir fastq/NCPPB_232	https://www.ncbi.nlm.nih.gov/sra/ERR4327117
NCPPB 301	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	SAMN03175018	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 301	primary	same_name	assembly	GCF_000785945.1	assembled_genome_sequence	Contig	RefSeq	5047533	153	67789						PRJNA266886	yes	NCBI Datasets CLI	datasets download genome accession GCF_000785945.1 --include genome --filename NCPPB_301_GCF_000785945.1.zip	https://www.ncbi.nlm.nih.gov/assembly/GCF_000785945.1
NCPPB 301	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	SAMN03175018	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 301	primary	same_name	bioproject	PRJNA224116	annotation_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA224116
NCPPB 301	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	SAMN03175018	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 301	primary	same_name	bioproject	PRJNA266886	sequence_source_project												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA266886
NCPPB 301	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	SAMN03175018	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 301	primary	same_name	bioproject	PRJNA608517	biosample_elink_only												no	NCBI BioProject metadata		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA608517
NCPPB 301	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	SAMN03175018	confirmed	accept	confirmed_exact_ncppb_identifier	NCPPB 301	primary	same_name	biosample	SAMN03175018	identity_anchor												no	NCBI BioSample metadata		https://www.ncbi.nlm.nih.gov/biosample/SAMN03175018
