ncppb_number	current_name	has_confirmed_biosample	current_review_status	current_review_priority	assistant_audit_decision	recommended_has_status	decision_confidence	accepted_biosample_accessions	accepted_to_keep	accepted_to_curator_check	secondary_review_accessions	conflict_rows	taxon_only_rows	rescue_candidate_count	manual_review_focus	assistant_note
NCPPB 1159	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	yes	manual_review_required	P2_conflicting_identifier_review	keep_confirmed_match_review_side_hits	confirmed_biosample_match	medium	SAMN01090336	SAMN01090336		SAMEA7984667	1	0	1	side_hit_review_only	Existing accepted BioSample is not itself flagged; conflicting/taxon-only/rescue accessions are side candidates from broad retrieval and should not overturn the current has-call.
NCPPB 1451	Xanthomonas campestris pv. vitistrifoliae (Padhya et al. 1965) Dye 1978	no	manual_review_required	P2_conflicting_identifier_review	no_confirmed_match_reject_conflicting_candidates	no_confirmed_match_yet	high				SAMEA6962652	1	0	1	conflicting_rejected_candidates	Only conflicting candidates are present; these point to other NCPPB numbers and should not be counted as this strain.
NCPPB 1472	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	no	manual_review_required	P2_conflicting_identifier_review	no_confirmed_match_reject_conflicting_candidates	no_confirmed_match_yet	high				SAMN17385960; SAMN17385948; SAMN17385947	3	0	3	conflicting_rejected_candidates	Only conflicting candidates are present; these point to other NCPPB numbers and should not be counted as this strain.
NCPPB 1607	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	yes	manual_review_required	P1_conflicting_accepted_match	curator_check_accepted_conflict	curator_review_required_before_counting	high	SAMEA104068692		SAMEA104068692		0	0	0	accepted_biosample_conflict	At least one currently accepted BioSample is flagged by raw audit; do not count it as final confirmed until curator review.
NCPPB 1646	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	yes	manual_review_required	P1_conflicting_accepted_match	curator_check_accepted_conflict	curator_review_required_before_counting	high	SAMN03175008		SAMN03175008		0	0	0	accepted_biosample_conflict	At least one currently accepted BioSample is flagged by raw audit; do not count it as final confirmed until curator review.
NCPPB 1925	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995	no	manual_review_required	P3_taxon_only_review	no_confirmed_match_review_taxon_or_rescue	no_confirmed_match_pending_review	medium				SAMN28167367	0	1	1	possible_false_negative_or_taxon_only	Target-taxon or rescue candidates exist but no exact strain identifier is present in current metadata.
NCPPB 1939	Xanthomonas axonopodis pv. poinsettiicola (Patel et al. 1951) Vauterin et al. 1995	yes	manual_review_required	P2_conflicting_identifier_review	keep_confirmed_match_review_side_hits	confirmed_biosample_match	medium	SAMN42178461	SAMN42178461		SAMN57360824; SAMN42278571; SAMN41996496; SAMEA7984667	4	0	4	side_hit_review_only	Existing accepted BioSample is not itself flagged; conflicting/taxon-only/rescue accessions are side candidates from broad retrieval and should not overturn the current has-call.
NCPPB 1942	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	no	manual_review_required	P2_conflicting_identifier_review	no_confirmed_match_reject_conflicting_candidates	no_confirmed_match_yet	high				SAMN05258070; SAMEA6962652; SAMN03140188	3	0	3	conflicting_rejected_candidates	Only conflicting candidates are present; these point to other NCPPB numbers and should not be counted as this strain.
NCPPB 1943	Xanthomonas cerealis pv. cerealis Tambong et al. 2024	yes	manual_review_required	P2_conflicting_identifier_review	keep_confirmed_match_review_side_hits	confirmed_biosample_match	medium	SAMN05258070	SAMN05258070		SAMN42278567	1	0	1	side_hit_review_only	Existing accepted BioSample is not itself flagged; conflicting/taxon-only/rescue accessions are side candidates from broad retrieval and should not overturn the current has-call.
NCPPB 1944	Xanthomonas cerealis pv. cerealis Tambong et al. 2024	yes	manual_review_required	P2_conflicting_identifier_review	keep_confirmed_match_review_side_hits	confirmed_biosample_match	medium	SAMN03246830	SAMN03246830		SAMN42278571	1	0	1	side_hit_review_only	Existing accepted BioSample is not itself flagged; conflicting/taxon-only/rescue accessions are side candidates from broad retrieval and should not overturn the current has-call.
NCPPB 1946	Xanthomonas campestris pv. raphani (White 1930) Dye 1978	yes	manual_review_required	P2_conflicting_identifier_review	keep_confirmed_match_review_side_hits	confirmed_biosample_match	medium	SAMN36368324; SAMN22552835; SAMN17385960; SAMN36315929	SAMN36368324; SAMN22552835; SAMN17385960; SAMN36315929		SAMN42284549; SAMN42284548; SAMN42284547	3	0	3	side_hit_review_only	Existing accepted BioSample is not itself flagged; conflicting/taxon-only/rescue accessions are side candidates from broad retrieval and should not overturn the current has-call.
NCPPB 1974	Stenotrophomonas maltophilia (Hugh 1981) Palleroni and Bradbury 1993	no	manual_review_required	P2_conflicting_identifier_review	no_confirmed_match_reject_conflicting_candidates	no_confirmed_match_yet	high				SAMN03164131; SAMN42161512; SAMN42161507; SAMN42278575; SAMN03140274; SAMEA6962649	6	0	6	conflicting_rejected_candidates	Only conflicting candidates are present; these point to other NCPPB numbers and should not be counted as this strain.
NCPPB 1975	Stenotrophomonas maltophilia (Hugh 1981) Palleroni and Bradbury 1993	no	manual_review_required	P2_conflicting_identifier_review	no_confirmed_match_reject_conflicting_candidates	no_confirmed_match_yet	high				SAMN42161511; SAMN42161510; SAMN42161509; SAMN42161508; SAMN17385948; SAMN39942673; SAMN36368323; SAMN03142811	8	0	8	conflicting_rejected_candidates	Only conflicting candidates are present; these point to other NCPPB numbers and should not be counted as this strain.
NCPPB 1981	Xanthomonas sp. Dowson 1939	no	manual_review_required	P2_conflicting_identifier_review	no_confirmed_match_reject_conflicting_candidates	no_confirmed_match_yet	high				SAMN42161485	1	0	1	conflicting_rejected_candidates	Only conflicting candidates are present; these point to other NCPPB numbers and should not be counted as this strain.
NCPPB 2005	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	yes	manual_review_required	P2_conflicting_identifier_review	keep_confirmed_match_review_side_hits	confirmed_biosample_match	medium	SAMN49535419; SAMN02471727; SAMN00860199	SAMN49535419; SAMN02471727; SAMN00860199		SAMN49535423; SAMN49535422; SAMN20034693; SAMN20034692; SAMN17385960; SAMN17385948; SAMN17385947; SAMN41763921	8	0	8	side_hit_review_only	Existing accepted BioSample is not itself flagged; conflicting/taxon-only/rescue accessions are side candidates from broad retrieval and should not overturn the current has-call.
NCPPB 2011	Xanthomonas hortorum pv. hederae (Arnaud 1920) Vauterin et al. 1995	no	manual_review_required	P2_conflicting_identifier_review	no_confirmed_match_reject_conflicting_candidates	no_confirmed_match_yet	high				SAMEA4072397; SAMN41996498	2	0	2	conflicting_rejected_candidates	Only conflicting candidates are present; these point to other NCPPB numbers and should not be counted as this strain.
NCPPB 2016	Xanthomonas hortorum pv. hederae (Arnaud 1920) Vauterin et al. 1995	no	manual_review_required	P2_conflicting_identifier_review	no_confirmed_match_reject_conflicting_candidates	no_confirmed_match_yet	high				SAMEA4072397; SAMN05258070; SAMN42278575; SAMN42278565; SAMN42180190; SAMN42180189; SAMN42180188; SAMEA4722874; SAMEA2827559; SAMEA2827237; SAMEA2827231; SAMEA2827229; SAMEA2827227	13	0	13	conflicting_rejected_candidates	Only conflicting candidates are present; these point to other NCPPB numbers and should not be counted as this strain.
NCPPB 2374	Xanthomonas euvesicatoria pv. carissae (Moniz et al. 1964) Harrison et al. 2023	no	manual_review_required	P3_taxon_only_review	no_confirmed_match_review_taxon_or_rescue	no_confirmed_match_pending_review	medium				SAMN17198920; SAMN17198911; SAMN17198909; SAMN17198905; SAMN17198901; SAMN17198897	0	6	6	possible_false_negative_or_taxon_only	Target-taxon or rescue candidates exist but no exact strain identifier is present in current metadata.
NCPPB 3059	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	no	manual_review_required	P2_conflicting_identifier_review	no_confirmed_match_reject_conflicting_candidates	no_confirmed_match_yet	high				SAMN17385960; SAMN17385948; SAMN17385947	3	0	3	conflicting_rejected_candidates	Only conflicting candidates are present; these point to other NCPPB numbers and should not be counted as this strain.
NCPPB 3078	Xanthomonas arboricola Vauterin et al. 1995	no	manual_review_required	P3_taxon_only_review	no_confirmed_match_review_taxon_or_rescue	no_confirmed_match_pending_review	medium				SAMEA114922136	0	1	1	possible_false_negative_or_taxon_only	Target-taxon or rescue candidates exist but no exact strain identifier is present in current metadata.
NCPPB 3562	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	no	manual_review_required	P2_conflicting_identifier_review	no_confirmed_match_reject_conflicting_candidates	no_confirmed_match_yet	high				SAMN36368324; SAMN36368323; SAMN36346973; SAMN36348479; SAMN36348480; SAMN36348488; SAMN36348493; SAMN36348496; SAMN36348499; SAMN36348500; SAMN36348501; SAMN52751970; SAMN52751975	3	10	13	conflicting_rejected_candidates	Only conflicting candidates are present; these point to other NCPPB numbers and should not be counted as this strain.
NCPPB 3587	Xanthomonas phaseoli pv. syngonii (Dickey & Zumoff 1987) Constantin et al. 2016 comb. nov.	no	manual_review_required	P2_conflicting_identifier_review	no_confirmed_match_reject_conflicting_candidates	no_confirmed_match_yet	high				SAMEA104068692	1	0	1	conflicting_rejected_candidates	Only conflicting candidates are present; these point to other NCPPB numbers and should not be counted as this strain.
NCPPB 3615	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	yes	manual_review_required	P2_conflicting_identifier_review	keep_confirmed_match_review_side_hits	confirmed_biosample_match	medium	SAMEA2827229; SAMEA2827227	SAMEA2827229; SAMEA2827227		SAMN36368329; SAMN37221642; SAMN37221639; SAMN52751973; SAMN52751968; SAMN39930467; SAMN39930458; SAMN39930443; SAMN39930434; SAMN39930428; SAMN39930416; SAMN39941928; SAMN39941922; SAMN39941905; SAMN39941889; SAMN39941888; SAMN39941885; SAMN39941884; SAMN39941863; SAMN39941846; SAMN39941832; SAMN39941795; SAMN39941789; SAMN39941781; SAMN39941729; SAMN36368349; SAMN36368318; SAMN36346978; SAMN25040945; SAMN25040942; SAMN25040939; SAMN26584409; SAMN26584406; SAMN26584403; SAMN26584400; SAMN26584397; SAMN26584394; SAMN26584391; SAMN26584388; SAMN26584385; SAMN16073569; SAMN16073562; SAMN16073552; SAMN16073566; SAMN16073559; SAMN16073556; SAMN08634690; SAMN08634687	1	47	48	side_hit_review_only	Existing accepted BioSample is not itself flagged; conflicting/taxon-only/rescue accessions are side candidates from broad retrieval and should not overturn the current has-call.
NCPPB 3876	Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995	no	manual_review_required	P2_conflicting_identifier_review	no_confirmed_match_reject_conflicting_candidates	no_confirmed_match_yet	high				SAMN36368321	1	0	1	conflicting_rejected_candidates	Only conflicting candidates are present; these point to other NCPPB numbers and should not be counted as this strain.
NCPPB 3877	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	no	manual_review_required	P2_conflicting_identifier_review	no_confirmed_match_reject_conflicting_candidates	no_confirmed_match_yet	high				SAMN36368322	1	0	1	conflicting_rejected_candidates	Only conflicting candidates are present; these point to other NCPPB numbers and should not be counted as this strain.
NCPPB 3880	Pseudomonas syringae pv. pisi (Sacket 1916) Young, Dye & Wilkie 1978	no	manual_review_required	P2_conflicting_identifier_review	no_confirmed_match_reject_conflicting_candidates	no_confirmed_match_yet	high				SAMN36368323	1	0	1	conflicting_rejected_candidates	Only conflicting candidates are present; these point to other NCPPB numbers and should not be counted as this strain.
NCPPB 3883	Xanthomonas sp. Dowson 1939	yes	manual_review_required	P2_conflicting_identifier_review	keep_confirmed_match_review_side_hits	confirmed_biosample_match	medium	SAMN57360827; SAMN22552831	SAMN57360827; SAMN22552831		SAMN36368324	1	0	1	side_hit_review_only	Existing accepted BioSample is not itself flagged; conflicting/taxon-only/rescue accessions are side candidates from broad retrieval and should not overturn the current has-call.
NCPPB 4321	Xanthomonas euvesicatoria pv. perforans (Jones et al. 2006) Constantin et al. 2016 comb. nov.	yes	manual_review_required	P2_conflicting_identifier_review	keep_confirmed_match_review_side_hits	confirmed_biosample_match	medium	SAMN14837221	SAMN14837221		SAMEA6962649	1	0	1	side_hit_review_only	Existing accepted BioSample is not itself flagged; conflicting/taxon-only/rescue accessions are side candidates from broad retrieval and should not overturn the current has-call.
NCPPB 4343	Xanthomonas bromi Vauterin et al. 1995	no	manual_review_required	P3_taxon_only_review	no_confirmed_match_review_taxon_or_rescue	no_confirmed_match_pending_review	medium				SAMN13783081; SAMN13783124; SAMN02645655	0	3	3	possible_false_negative_or_taxon_only	Target-taxon or rescue candidates exist but no exact strain identifier is present in current metadata.
NCPPB 4679	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	yes	manual_review_required	P3_taxon_only_review	keep_confirmed_match_review_side_hits	confirmed_biosample_match	medium	SAMN56511384	SAMN56511384		SAMN17198917	0	1	1	side_hit_review_only	Existing accepted BioSample is not itself flagged; conflicting/taxon-only/rescue accessions are side candidates from broad retrieval and should not overturn the current has-call.
