ncppb_number	other_references	matched_text	normalized_identifier	prefix	suffix	rule_name	confidence	include_for_search	biosample_query	context
NCPPB 182	This isolate is also in the collections; ATCC 13901, ICMP 305, LMG 896 The source of this isolate was ex M.T. Cook	LMG 896	LMG 896	LMG	896	known_collection_prefix	high	yes	LMG[All Fields] AND 896[All Fields]	This isolate is also in the collections; ATCC 13901, ICMP 305, LMG 896 The source of this isolate was ex M.T. Cook
NCPPB 184	This isolate is also in the collections; ATCC 13902, ICPB XV101	ATCC 13902	ATCC 13902	ATCC	13902	known_collection_prefix	high	yes	ATCC[All Fields] AND 13902[All Fields]	This isolate is also in the collections; ATCC 13902, ICPB XV101
NCPPB 184	This isolate is also in the collections; ATCC 13902, ICPB XV101	ICPB XV101	ICPB XV101	ICPB	XV101	known_collection_prefix	high	yes	ICPB[All Fields] AND XV101[All Fields]	This isolate is also in the collections; ATCC 13902, ICPB XV101
NCPPB 184	This isolate is also in the collections; ATCC 13902, ICPB XV101	XV101	XV 101	XV	101	contextual_reference_code	medium	yes	XV[All Fields] AND 101[All Fields]	This isolate is also in the collections; ATCC 13902, ICPB XV101
NCPPB 185						no_identifier_found	none	no		
NCPPB 186						no_identifier_found	none	no		
NCPPB 187						no_identifier_found	none	no		
NCPPB 195						no_identifier_found	none	no		
NCPPB 196						no_identifier_found	none	no		
NCPPB 200						no_identifier_found	none	no		
NCPPB 205						no_identifier_found	none	no		
NCPPB 206	This isolate is also in the collections; ICMP 326, LMG 8284, CFBP 7162	ICMP 326	ICMP 326	ICMP	326	known_collection_prefix	high	yes	ICMP[All Fields] AND 326[All Fields]	This isolate is also in the collections; ICMP 326, LMG 8284, CFBP 7162
NCPPB 206	This isolate is also in the collections; ICMP 326, LMG 8284, CFBP 7162	LMG 8284	LMG 8284	LMG	8284	known_collection_prefix	high	yes	LMG[All Fields] AND 8284[All Fields]	This isolate is also in the collections; ICMP 326, LMG 8284, CFBP 7162
NCPPB 206	This isolate is also in the collections; ICMP 326, LMG 8284, CFBP 7162	CFBP 7162	CFBP 7162	CFBP	7162	known_collection_prefix	high	yes	CFBP[All Fields] AND 7162[All Fields]	This isolate is also in the collections; ICMP 326, LMG 8284, CFBP 7162
NCPPB 208	This isolate was isolated by G. Orian PC5	PC5	PC 5	PC	5	uppercase_general_code	medium	yes	PC[All Fields] AND 5[All Fields]	This isolate was isolated by G. Orian PC5
NCPPB 210	This isolate was isolated by M.K. Patel					no_identifier_found	none	no		
NCPPB 211						no_identifier_found	none	no		
NCPPB 212						no_identifier_found	none	no		
NCPPB 220	The source of this isolate was ex C. Elliott					no_identifier_found	none	no		
NCPPB 226						no_identifier_found	none	no		
NCPPB 230						no_identifier_found	none	no		
NCPPB 232						no_identifier_found	none	no		
NCPPB 240	This isolate was isolated by W.J. Dowson The source of this isolate was .					no_identifier_found	none	no		
NCPPB 241	The source of this isolate was ex W.J. Dowson					no_identifier_found	none	no		
NCPPB 243						no_identifier_found	none	no		
NCPPB 273	The source of this isolate was ex A.C. Brown B67	B67	B 67	B	67	source_context_single_letter_code	low	yes	B[All Fields] AND 67[All Fields]	The source of this isolate was ex A.C. Brown B67
NCPPB 279	This isolate was isolated by P.O. Wiehe					no_identifier_found	none	no		
NCPPB 290	The donor reference is 38/2	is 38/2	IS 38/2	IS	38/2	stopword_prefix	reject	no		The donor reference is 38/2
NCPPB 293	This isolate was isolated by R.A. Lelliott					no_identifier_found	none	no		
NCPPB 301						no_identifier_found	none	no		
NCPPB 302	The donor reference is XP 8 The source of this isolate was .	XP 8	XP 8	XP	8	contextual_reference_code	medium	yes	XP[All Fields] AND 8[All Fields]	The donor reference is XP 8 The source of this isolate was .
NCPPB 305						no_identifier_found	none	no		
NCPPB 315	The donor reference is XS52/5	XS52/5	XS 52/5	XS	52/5	contextual_reference_code	medium	yes	XS[All Fields] AND 52[All Fields] AND 5[All Fields]	The donor reference is XS52/5
NCPPB 347	This isolate is also in the collections; ICMP 7, LMG 535 This isolate was isolated by G.B. Wallace	ICMP 7	ICMP 7	ICMP	7	known_collection_prefix	high	yes	ICMP[All Fields] AND 7[All Fields]	This isolate is also in the collections; ICMP 7, LMG 535 This isolate was isolated by G.B. Wallace
NCPPB 347	This isolate is also in the collections; ICMP 7, LMG 535 This isolate was isolated by G.B. Wallace	LMG 535	LMG 535	LMG	535	known_collection_prefix	high	yes	LMG[All Fields] AND 535[All Fields]	This isolate is also in the collections; ICMP 7, LMG 535 This isolate was isolated by G.B. Wallace
NCPPB 348						no_identifier_found	none	no		
NCPPB 362						no_identifier_found	none	no		
NCPPB 381	The donor reference is ZK4 This isolate is also in the collections; ATCC 19315, LMG 826, ICMP 239, CFBP 6165 The source of this isolate was ex W.A.F. Hagborg	ATCC 19315	ATCC 19315	ATCC	19315	known_collection_prefix	high	yes	ATCC[All Fields] AND 19315[All Fields]	The donor reference is ZK4 This isolate is also in the collections; ATCC 19315, LMG 826, ICMP 239, CFBP 6165 The source of this isolate was ex W.A.F. Hagborg
NCPPB 381	The donor reference is ZK4 This isolate is also in the collections; ATCC 19315, LMG 826, ICMP 239, CFBP 6165 The source of this isolate was ex W.A.F. Hagborg	LMG 826	LMG 826	LMG	826	known_collection_prefix	high	yes	LMG[All Fields] AND 826[All Fields]	The donor reference is ZK4 This isolate is also in the collections; ATCC 19315, LMG 826, ICMP 239, CFBP 6165 The source of this isolate was ex W.A.F. Hagborg
NCPPB 381	The donor reference is ZK4 This isolate is also in the collections; ATCC 19315, LMG 826, ICMP 239, CFBP 6165 The source of this isolate was ex W.A.F. Hagborg	ICMP 239	ICMP 239	ICMP	239	known_collection_prefix	high	yes	ICMP[All Fields] AND 239[All Fields]	reference is ZK4 This isolate is also in the collections; ATCC 19315, LMG 826, ICMP 239, CFBP 6165 The source of this isolate was ex W.A.F. Hagborg
NCPPB 381	The donor reference is ZK4 This isolate is also in the collections; ATCC 19315, LMG 826, ICMP 239, CFBP 6165 The source of this isolate was ex W.A.F. Hagborg	CFBP 6165	CFBP 6165	CFBP	6165	known_collection_prefix	high	yes	CFBP[All Fields] AND 6165[All Fields]	is ZK4 This isolate is also in the collections; ATCC 19315, LMG 826, ICMP 239, CFBP 6165 The source of this isolate was ex W.A.F. Hagborg
NCPPB 381	The donor reference is ZK4 This isolate is also in the collections; ATCC 19315, LMG 826, ICMP 239, CFBP 6165 The source of this isolate was ex W.A.F. Hagborg	ZK4	ZK 4	ZK	4	contextual_reference_code	medium	yes	ZK[All Fields] AND 4[All Fields]	The donor reference is ZK4 This isolate is also in the collections; ATCC 19315, LMG 826, ICMP 239, CFBP 61
NCPPB 400	This isolate was isolated by E. Hellmers 69	Hellmers 69	HELLMERS 69	HELLMERS	69	person_or_local_reference_code	low	yes	HELLMERS[All Fields] AND 69[All Fields]	This isolate was isolated by E. Hellmers 69
NCPPB 403	This isolate was isolated by D.W. Dye Ql					no_identifier_found	none	no		
NCPPB 404	This isolate was isolated by D.W. Dye Q2	Q2	Q 2	Q	2	source_context_single_letter_code	low	yes	Q[All Fields] AND 2[All Fields]	This isolate was isolated by D.W. Dye Q2
NCPPB 405	This isolate was isolated by D.W. Dye R1	R1	R 1	R	1	source_context_single_letter_code	low	yes	R[All Fields] AND 1[All Fields]	This isolate was isolated by D.W. Dye R1
NCPPB 406	The donor reference is R This isolate was isolated by D.W. Dye R2	R2	R 2	R	2	source_context_single_letter_code	low	yes	R[All Fields] AND 2[All Fields]	The donor reference is R This isolate was isolated by D.W. Dye R2
NCPPB 407	This isolate was isolated by D.W. Dye R3	R3	R 3	R	3	source_context_single_letter_code	low	yes	R[All Fields] AND 3[All Fields]	This isolate was isolated by D.W. Dye R3
NCPPB 408	This isolate was isolated by D.W. Dye R4	R4	R 4	R	4	source_context_single_letter_code	low	yes	R[All Fields] AND 4[All Fields]	This isolate was isolated by D.W. Dye R4
NCPPB 409	This isolate is also in the collections; ICMP 24, LMG 682, CFBP 2525 This isolate was isolated by D.W. Dye R5	ICMP 24	ICMP 24	ICMP	24	known_collection_prefix	high	yes	ICMP[All Fields] AND 24[All Fields]	This isolate is also in the collections; ICMP 24, LMG 682, CFBP 2525 This isolate was isolated by D.W. Dye R5
NCPPB 409	This isolate is also in the collections; ICMP 24, LMG 682, CFBP 2525 This isolate was isolated by D.W. Dye R5	LMG 682	LMG 682	LMG	682	known_collection_prefix	high	yes	LMG[All Fields] AND 682[All Fields]	This isolate is also in the collections; ICMP 24, LMG 682, CFBP 2525 This isolate was isolated by D.W. Dye R5
NCPPB 409	This isolate is also in the collections; ICMP 24, LMG 682, CFBP 2525 This isolate was isolated by D.W. Dye R5	CFBP 2525	CFBP 2525	CFBP	2525	known_collection_prefix	high	yes	CFBP[All Fields] AND 2525[All Fields]	This isolate is also in the collections; ICMP 24, LMG 682, CFBP 2525 This isolate was isolated by D.W. Dye R5
NCPPB 409	This isolate is also in the collections; ICMP 24, LMG 682, CFBP 2525 This isolate was isolated by D.W. Dye R5	R5	R 5	R	5	source_context_single_letter_code	low	yes	R[All Fields] AND 5[All Fields]	collections; ICMP 24, LMG 682, CFBP 2525 This isolate was isolated by D.W. Dye R5
NCPPB 410	This isolate was isolated by D.W. Dye R6	R6	R 6	R	6	source_context_single_letter_code	low	yes	R[All Fields] AND 6[All Fields]	This isolate was isolated by D.W. Dye R6
NCPPB 411	The donor reference is S3 This isolate is also in the collections; ICMP 35, CFBP 2528, LMG 747, ATCC 49083	ICMP 35	ICMP 35	ICMP	35	known_collection_prefix	high	yes	ICMP[All Fields] AND 35[All Fields]	The donor reference is S3 This isolate is also in the collections; ICMP 35, CFBP 2528, LMG 747, ATCC 49083
NCPPB 411	The donor reference is S3 This isolate is also in the collections; ICMP 35, CFBP 2528, LMG 747, ATCC 49083	CFBP 2528	CFBP 2528	CFBP	2528	known_collection_prefix	high	yes	CFBP[All Fields] AND 2528[All Fields]	The donor reference is S3 This isolate is also in the collections; ICMP 35, CFBP 2528, LMG 747, ATCC 49083
NCPPB 411	The donor reference is S3 This isolate is also in the collections; ICMP 35, CFBP 2528, LMG 747, ATCC 49083	LMG 747	LMG 747	LMG	747	known_collection_prefix	high	yes	LMG[All Fields] AND 747[All Fields]	or reference is S3 This isolate is also in the collections; ICMP 35, CFBP 2528, LMG 747, ATCC 49083
NCPPB 411	The donor reference is S3 This isolate is also in the collections; ICMP 35, CFBP 2528, LMG 747, ATCC 49083	ATCC 49083	ATCC 49083	ATCC	49083	known_collection_prefix	high	yes	ATCC[All Fields] AND 49083[All Fields]	nce is S3 This isolate is also in the collections; ICMP 35, CFBP 2528, LMG 747, ATCC 49083
NCPPB 411	The donor reference is S3 This isolate is also in the collections; ICMP 35, CFBP 2528, LMG 747, ATCC 49083	S3	S 3	S	3	source_context_single_letter_code	low	yes	S[All Fields] AND 3[All Fields]	The donor reference is S3 This isolate is also in the collections; ICMP 35, CFBP 2528, LMG 747, ATCC 4908
NCPPB 412	This isolate was isolated by D.W. Dye S6	S6	S 6	S	6	source_context_single_letter_code	low	yes	S[All Fields] AND 6[All Fields]	This isolate was isolated by D.W. Dye S6
NCPPB 414	This isolate was isolated by D.W. Dye S10	S10	S 10	S	10	source_context_single_letter_code	low	yes	S[All Fields] AND 10[All Fields]	This isolate was isolated by D.W. Dye S10
NCPPB 415	This isolate was isolated by D.W. Dye S12	S12	S 12	S	12	source_context_single_letter_code	low	yes	S[All Fields] AND 12[All Fields]	This isolate was isolated by D.W. Dye S12
NCPPB 416	This isolate is also in the collections; ATCC 19316, ICMP 51, LMG 852, CFBP 2535 This isolate was isolated by D.W. Dye Tl	ATCC 19316	ATCC 19316	ATCC	19316	known_collection_prefix	high	yes	ATCC[All Fields] AND 19316[All Fields]	This isolate is also in the collections; ATCC 19316, ICMP 51, LMG 852, CFBP 2535 This isolate was isolated by D.W. Dye Tl
NCPPB 416	This isolate is also in the collections; ATCC 19316, ICMP 51, LMG 852, CFBP 2535 This isolate was isolated by D.W. Dye Tl	ICMP 51	ICMP 51	ICMP	51	known_collection_prefix	high	yes	ICMP[All Fields] AND 51[All Fields]	This isolate is also in the collections; ATCC 19316, ICMP 51, LMG 852, CFBP 2535 This isolate was isolated by D.W. Dye Tl
NCPPB 416	This isolate is also in the collections; ATCC 19316, ICMP 51, LMG 852, CFBP 2535 This isolate was isolated by D.W. Dye Tl	LMG 852	LMG 852	LMG	852	known_collection_prefix	high	yes	LMG[All Fields] AND 852[All Fields]	This isolate is also in the collections; ATCC 19316, ICMP 51, LMG 852, CFBP 2535 This isolate was isolated by D.W. Dye Tl
NCPPB 416	This isolate is also in the collections; ATCC 19316, ICMP 51, LMG 852, CFBP 2535 This isolate was isolated by D.W. Dye Tl	CFBP 2535	CFBP 2535	CFBP	2535	known_collection_prefix	high	yes	CFBP[All Fields] AND 2535[All Fields]	This isolate is also in the collections; ATCC 19316, ICMP 51, LMG 852, CFBP 2535 This isolate was isolated by D.W. Dye Tl
NCPPB 418	This isolate was isolated by D.W. Dye T6	T6	T 6	T	6	source_context_single_letter_code	low	yes	T[All Fields] AND 6[All Fields]	This isolate was isolated by D.W. Dye T6
NCPPB 419	This isolate was isolated by D.W. Dye T7	T7	T 7	T	7	source_context_single_letter_code	low	yes	T[All Fields] AND 7[All Fields]	This isolate was isolated by D.W. Dye T7
NCPPB 420	This isolate was isolated by D.W. Dye T8	T8	T 8	T	8	source_context_single_letter_code	low	yes	T[All Fields] AND 8[All Fields]	This isolate was isolated by D.W. Dye T8
NCPPB 421	This isolate was isolated by D.W. Dye T9	T9	T 9	T	9	source_context_single_letter_code	low	yes	T[All Fields] AND 9[All Fields]	This isolate was isolated by D.W. Dye T9
NCPPB 422	This isolate is also in the collections; ICMP 63, LMG 911, ATCC 35937 This isolate was isolated by D.W. Dye X1	ICMP 63	ICMP 63	ICMP	63	known_collection_prefix	high	yes	ICMP[All Fields] AND 63[All Fields]	This isolate is also in the collections; ICMP 63, LMG 911, ATCC 35937 This isolate was isolated by D.W. Dye X1
NCPPB 422	This isolate is also in the collections; ICMP 63, LMG 911, ATCC 35937 This isolate was isolated by D.W. Dye X1	LMG 911	LMG 911	LMG	911	known_collection_prefix	high	yes	LMG[All Fields] AND 911[All Fields]	This isolate is also in the collections; ICMP 63, LMG 911, ATCC 35937 This isolate was isolated by D.W. Dye X1
NCPPB 422	This isolate is also in the collections; ICMP 63, LMG 911, ATCC 35937 This isolate was isolated by D.W. Dye X1	ATCC 35937	ATCC 35937	ATCC	35937	known_collection_prefix	high	yes	ATCC[All Fields] AND 35937[All Fields]	This isolate is also in the collections; ICMP 63, LMG 911, ATCC 35937 This isolate was isolated by D.W. Dye X1
NCPPB 422	This isolate is also in the collections; ICMP 63, LMG 911, ATCC 35937 This isolate was isolated by D.W. Dye X1	X1	X 1	X	1	source_context_single_letter_code	low	yes	X[All Fields] AND 1[All Fields]	collections; ICMP 63, LMG 911, ATCC 35937 This isolate was isolated by D.W. Dye X1
NCPPB 423	This isolate is also in the collections; ICMP 65, LMG 916 This isolate was isolated by D.W. Dye X3	ICMP 65	ICMP 65	ICMP	65	known_collection_prefix	high	yes	ICMP[All Fields] AND 65[All Fields]	This isolate is also in the collections; ICMP 65, LMG 916 This isolate was isolated by D.W. Dye X3
NCPPB 423	This isolate is also in the collections; ICMP 65, LMG 916 This isolate was isolated by D.W. Dye X3	LMG 916	LMG 916	LMG	916	known_collection_prefix	high	yes	LMG[All Fields] AND 916[All Fields]	This isolate is also in the collections; ICMP 65, LMG 916 This isolate was isolated by D.W. Dye X3
NCPPB 423	This isolate is also in the collections; ICMP 65, LMG 916 This isolate was isolated by D.W. Dye X3	X3	X 3	X	3	source_context_single_letter_code	low	yes	X[All Fields] AND 3[All Fields]	also in the collections; ICMP 65, LMG 916 This isolate was isolated by D.W. Dye X3
NCPPB 424	This isolate is also in the collections; ICMP 66, LMG 917 This isolate was isolated by D.W. Dye X4	ICMP 66	ICMP 66	ICMP	66	known_collection_prefix	high	yes	ICMP[All Fields] AND 66[All Fields]	This isolate is also in the collections; ICMP 66, LMG 917 This isolate was isolated by D.W. Dye X4
NCPPB 424	This isolate is also in the collections; ICMP 66, LMG 917 This isolate was isolated by D.W. Dye X4	LMG 917	LMG 917	LMG	917	known_collection_prefix	high	yes	LMG[All Fields] AND 917[All Fields]	This isolate is also in the collections; ICMP 66, LMG 917 This isolate was isolated by D.W. Dye X4
NCPPB 424	This isolate is also in the collections; ICMP 66, LMG 917 This isolate was isolated by D.W. Dye X4	X4	X 4	X	4	source_context_single_letter_code	low	yes	X[All Fields] AND 4[All Fields]	also in the collections; ICMP 66, LMG 917 This isolate was isolated by D.W. Dye X4
NCPPB 425	The donor reference is ZC1 The source of this isolate was ex B. Paine	ZC1	ZC 1	ZC	1	contextual_reference_code	medium	yes	ZC[All Fields] AND 1[All Fields]	The donor reference is ZC1 The source of this isolate was ex B. Paine
NCPPB 457	This isolate is also in the collections; ATCC 19312, ICMP 50, LMG 982, DSMZ 3585 This isolate was isolated by M.P. Starr XA103	ATCC 19312	ATCC 19312	ATCC	19312	known_collection_prefix	high	yes	ATCC[All Fields] AND 19312[All Fields]	This isolate is also in the collections; ATCC 19312, ICMP 50, LMG 982, DSMZ 3585 This isolate was isolated by M.P. Starr XA103
NCPPB 457	This isolate is also in the collections; ATCC 19312, ICMP 50, LMG 982, DSMZ 3585 This isolate was isolated by M.P. Starr XA103	ICMP 50	ICMP 50	ICMP	50	known_collection_prefix	high	yes	ICMP[All Fields] AND 50[All Fields]	This isolate is also in the collections; ATCC 19312, ICMP 50, LMG 982, DSMZ 3585 This isolate was isolated by M.P. Starr XA103
NCPPB 457	This isolate is also in the collections; ATCC 19312, ICMP 50, LMG 982, DSMZ 3585 This isolate was isolated by M.P. Starr XA103	LMG 982	LMG 982	LMG	982	known_collection_prefix	high	yes	LMG[All Fields] AND 982[All Fields]	This isolate is also in the collections; ATCC 19312, ICMP 50, LMG 982, DSMZ 3585 This isolate was isolated by M.P. Starr XA103
NCPPB 457	This isolate is also in the collections; ATCC 19312, ICMP 50, LMG 982, DSMZ 3585 This isolate was isolated by M.P. Starr XA103	DSMZ 3585	DSMZ 3585	DSMZ	3585	known_collection_prefix	high	yes	DSMZ[All Fields] AND 3585[All Fields]	This isolate is also in the collections; ATCC 19312, ICMP 50, LMG 982, DSMZ 3585 This isolate was isolated by M.P. Starr XA103
NCPPB 457	This isolate is also in the collections; ATCC 19312, ICMP 50, LMG 982, DSMZ 3585 This isolate was isolated by M.P. Starr XA103	XA103	XA 103	XA	103	uppercase_general_code	medium	yes	XA[All Fields] AND 103[All Fields]	ATCC 19312, ICMP 50, LMG 982, DSMZ 3585 This isolate was isolated by M.P. Starr XA103
NCPPB 464	This isolate is also in the collections; ICMP 359, LMG 9052 This isolate was isolated by K.A. Sabet Cor 9	ICMP 359	ICMP 359	ICMP	359	known_collection_prefix	high	yes	ICMP[All Fields] AND 359[All Fields]	This isolate is also in the collections; ICMP 359, LMG 9052 This isolate was isolated by K.A. Sabet Cor 9
NCPPB 464	This isolate is also in the collections; ICMP 359, LMG 9052 This isolate was isolated by K.A. Sabet Cor 9	LMG 9052	LMG 9052	LMG	9052	known_collection_prefix	high	yes	LMG[All Fields] AND 9052[All Fields]	This isolate is also in the collections; ICMP 359, LMG 9052 This isolate was isolated by K.A. Sabet Cor 9
NCPPB 464	This isolate is also in the collections; ICMP 359, LMG 9052 This isolate was isolated by K.A. Sabet Cor 9	Cor 9	COR 9	COR	9	contextual_reference_code	medium	yes	COR[All Fields] AND 9[All Fields]	in the collections; ICMP 359, LMG 9052 This isolate was isolated by K.A. Sabet Cor 9
NCPPB 465	This isolate was isolated by K.A. Sabet Cor 5	Cor 5	COR 5	COR	5	general_code_candidate	low	yes	COR[All Fields] AND 5[All Fields]	This isolate was isolated by K.A. Sabet Cor 5
NCPPB 466	This isolate is also in the collections; ICMP 360, LMG 859 The source of this isolate was ex M.K. Hingorani	ICMP 360	ICMP 360	ICMP	360	known_collection_prefix	high	yes	ICMP[All Fields] AND 360[All Fields]	This isolate is also in the collections; ICMP 360, LMG 859 The source of this isolate was ex M.K. Hingorani
NCPPB 466	This isolate is also in the collections; ICMP 360, LMG 859 The source of this isolate was ex M.K. Hingorani	LMG 859	LMG 859	LMG	859	known_collection_prefix	high	yes	LMG[All Fields] AND 859[All Fields]	This isolate is also in the collections; ICMP 360, LMG 859 The source of this isolate was ex M.K. Hingorani
NCPPB 473	The source of this isolate was ex M.K. Hingorani					no_identifier_found	none	no		
NCPPB 476	The source of this isolate was ex M.K. Desai					no_identifier_found	none	no		
NCPPB 477	The source of this isolate was ex M.K. Desai					no_identifier_found	none	no		
NCPPB 478	The source of this isolate was ex M.K. Desai					no_identifier_found	none	no		
NCPPB 479	This isolate was isolated by ex M.K. Desai					no_identifier_found	none	no		
NCPPB 480	This isolate is also in the collections; CFBP 7121 The source of this isolate was ex M.K. Desai	CFBP 7121	CFBP 7121	CFBP	7121	known_collection_prefix	high	yes	CFBP[All Fields] AND 7121[All Fields]	This isolate is also in the collections; CFBP 7121 The source of this isolate was ex M.K. Desai
NCPPB 481	This isolate is also in the collections; ATCC 11640, ICMP 315, LMG 692 This isolate was isolated by ICPB XD105 The source of this isolate was ex ICPB XD105 ex ICPB XD105	ATCC 11640	ATCC 11640	ATCC	11640	known_collection_prefix	high	yes	ATCC[All Fields] AND 11640[All Fields]	This isolate is also in the collections; ATCC 11640, ICMP 315, LMG 692 This isolate was isolated by ICPB XD105 The source of this i
NCPPB 481	This isolate is also in the collections; ATCC 11640, ICMP 315, LMG 692 This isolate was isolated by ICPB XD105 The source of this isolate was ex ICPB XD105 ex ICPB XD105	ICMP 315	ICMP 315	ICMP	315	known_collection_prefix	high	yes	ICMP[All Fields] AND 315[All Fields]	This isolate is also in the collections; ATCC 11640, ICMP 315, LMG 692 This isolate was isolated by ICPB XD105 The source of this isolate was
NCPPB 481	This isolate is also in the collections; ATCC 11640, ICMP 315, LMG 692 This isolate was isolated by ICPB XD105 The source of this isolate was ex ICPB XD105 ex ICPB XD105	LMG 692	LMG 692	LMG	692	known_collection_prefix	high	yes	LMG[All Fields] AND 692[All Fields]	This isolate is also in the collections; ATCC 11640, ICMP 315, LMG 692 This isolate was isolated by ICPB XD105 The source of this isolate was ex ICPB
NCPPB 481	This isolate is also in the collections; ATCC 11640, ICMP 315, LMG 692 This isolate was isolated by ICPB XD105 The source of this isolate was ex ICPB XD105 ex ICPB XD105	ICPB XD105	ICPB XD105	ICPB	XD105	known_collection_prefix	high	yes	ICPB[All Fields] AND XD105[All Fields]	late was isolated by ICPB XD105 The source of this isolate was ex ICPB XD105 ex ICPB XD105
NCPPB 481	This isolate is also in the collections; ATCC 11640, ICMP 315, LMG 692 This isolate was isolated by ICPB XD105 The source of this isolate was ex ICPB XD105 ex ICPB XD105	XD105	XD 105	XD	105	contextual_reference_code	medium	yes	XD[All Fields] AND 105[All Fields]	he collections; ATCC 11640, ICMP 315, LMG 692 This isolate was isolated by ICPB XD105 The source of this isolate was ex ICPB XD105 ex ICPB XD105
NCPPB 485	The donor reference is XB109 The source of this isolate was ex ICPB XB109	ICPB XB109	ICPB XB109	ICPB	XB109	known_collection_prefix	high	yes	ICPB[All Fields] AND XB109[All Fields]	The donor reference is XB109 The source of this isolate was ex ICPB XB109
NCPPB 485	The donor reference is XB109 The source of this isolate was ex ICPB XB109	XB109	XB 109	XB	109	contextual_reference_code	medium	yes	XB[All Fields] AND 109[All Fields]	The donor reference is XB109 The source of this isolate was ex ICPB XB109
NCPPB 488	This isolate is also in the collections; ICPB XR101, ATCC 11767, LMG 7441, ICMP 248 The source of this isolate was ex M.K. Patel	ICPB XR101	ICPB XR101	ICPB	XR101	known_collection_prefix	high	yes	ICPB[All Fields] AND XR101[All Fields]	This isolate is also in the collections; ICPB XR101, ATCC 11767, LMG 7441, ICMP 248 The source of this isolate was ex M.K. Patel
NCPPB 488	This isolate is also in the collections; ICPB XR101, ATCC 11767, LMG 7441, ICMP 248 The source of this isolate was ex M.K. Patel	ATCC 11767	ATCC 11767	ATCC	11767	known_collection_prefix	high	yes	ATCC[All Fields] AND 11767[All Fields]	This isolate is also in the collections; ICPB XR101, ATCC 11767, LMG 7441, ICMP 248 The source of this isolate was ex M.K. Patel
NCPPB 488	This isolate is also in the collections; ICPB XR101, ATCC 11767, LMG 7441, ICMP 248 The source of this isolate was ex M.K. Patel	LMG 7441	LMG 7441	LMG	7441	known_collection_prefix	high	yes	LMG[All Fields] AND 7441[All Fields]	This isolate is also in the collections; ICPB XR101, ATCC 11767, LMG 7441, ICMP 248 The source of this isolate was ex M.K. Patel
NCPPB 488	This isolate is also in the collections; ICPB XR101, ATCC 11767, LMG 7441, ICMP 248 The source of this isolate was ex M.K. Patel	ICMP 248	ICMP 248	ICMP	248	known_collection_prefix	high	yes	ICMP[All Fields] AND 248[All Fields]	This isolate is also in the collections; ICPB XR101, ATCC 11767, LMG 7441, ICMP 248 The source of this isolate was ex M.K. Patel
NCPPB 488	This isolate is also in the collections; ICPB XR101, ATCC 11767, LMG 7441, ICMP 248 The source of this isolate was ex M.K. Patel	XR101	XR 101	XR	101	contextual_reference_code	medium	yes	XR[All Fields] AND 101[All Fields]	This isolate is also in the collections; ICPB XR101, ATCC 11767, LMG 7441, ICMP 248 The source of this isolate was ex M.K. Patel
NCPPB 490	The donor reference is 18 This isolate is also in the collections; ATCC 11637, ICMP 5740, LMG 941, CFBP 1716 This isolate was isolated by M.K. Patel The source of this isolate was ex ICPB PM114 ex M.K. Patel	ATCC 11637	ATCC 11637	ATCC	11637	known_collection_prefix	high	yes	ATCC[All Fields] AND 11637[All Fields]	The donor reference is 18 This isolate is also in the collections; ATCC 11637, ICMP 5740, LMG 941, CFBP 1716 This isolate was isolated by M.K. Patel The sour
