ncppb_number	other_references	script_included_identifiers	llm_expected_identifiers	missing_from_script	extra_in_script	comparison_verdict	llm_notes
NCPPB 416	This isolate is also in the collections; ATCC 19316, ICMP 51, LMG 852, CFBP 2535 This isolate was isolated by D.W. Dye Tl	ATCC 19316; CFBP 2535; ICMP 51; LMG 852	ATCC 19316; CFBP 2535; ICMP 51; LMG 852			match	
NCPPB 418	This isolate was isolated by D.W. Dye T6	T 6	T 6			match	Includes one-letter local strain code(s).
NCPPB 419	This isolate was isolated by D.W. Dye T7	T 7	T 7			match	Includes one-letter local strain code(s).
NCPPB 420	This isolate was isolated by D.W. Dye T8	T 8	T 8			match	Includes one-letter local strain code(s).
NCPPB 421	This isolate was isolated by D.W. Dye T9	T 9	T 9			match	Includes one-letter local strain code(s).
NCPPB 422	This isolate is also in the collections; ICMP 63, LMG 911, ATCC 35937 This isolate was isolated by D.W. Dye X1	ATCC 35937; ICMP 63; LMG 911; X 1	ATCC 35937; ICMP 63; LMG 911; X 1			match	Includes one-letter local strain code(s).
NCPPB 423	This isolate is also in the collections; ICMP 65, LMG 916 This isolate was isolated by D.W. Dye X3	ICMP 65; LMG 916; X 3	ICMP 65; LMG 916; X 3			match	Includes one-letter local strain code(s).
NCPPB 424	This isolate is also in the collections; ICMP 66, LMG 917 This isolate was isolated by D.W. Dye X4	ICMP 66; LMG 917; X 4	ICMP 66; LMG 917; X 4			match	Includes one-letter local strain code(s).
NCPPB 425	The donor reference is ZC1 The source of this isolate was ex B. Paine	ZC 1	ZC 1			match	
NCPPB 457	This isolate is also in the collections; ATCC 19312, ICMP 50, LMG 982, DSMZ 3585 This isolate was isolated by M.P. Starr XA103	ATCC 19312; DSMZ 3585; ICMP 50; LMG 982; XA 103	ATCC 19312; DSMZ 3585; ICMP 50; LMG 982; XA 103			match	
NCPPB 464	This isolate is also in the collections; ICMP 359, LMG 9052 This isolate was isolated by K.A. Sabet Cor 9	COR 9; ICMP 359; LMG 9052	COR 9; ICMP 359; LMG 9052			match	
NCPPB 465	This isolate was isolated by K.A. Sabet Cor 5	COR 5	COR 5			match	
NCPPB 466	This isolate is also in the collections; ICMP 360, LMG 859 The source of this isolate was ex M.K. Hingorani	ICMP 360; LMG 859	ICMP 360; LMG 859			match	
NCPPB 473	The source of this isolate was ex M.K. Hingorani					match	
NCPPB 476	The source of this isolate was ex M.K. Desai					match	
NCPPB 477	The source of this isolate was ex M.K. Desai					match	
NCPPB 478	The source of this isolate was ex M.K. Desai					match	
NCPPB 479	This isolate was isolated by ex M.K. Desai					match	
NCPPB 480	This isolate is also in the collections; CFBP 7121 The source of this isolate was ex M.K. Desai	CFBP 7121	CFBP 7121			match	
NCPPB 481	This isolate is also in the collections; ATCC 11640, ICMP 315, LMG 692 This isolate was isolated by ICPB XD105 The source of this isolate was ex ICPB XD105 ex ICPB XD105	ATCC 11640; ICMP 315; ICPB XD105; LMG 692; XD 105	ATCC 11640; ICMP 315; LMG 692; XD 105		ICPB XD105	mismatch	
NCPPB 485	The donor reference is XB109 The source of this isolate was ex ICPB XB109	ICPB XB109; XB 109	XB 109		ICPB XB109	mismatch	
NCPPB 488	This isolate is also in the collections; ICPB XR101, ATCC 11767, LMG 7441, ICMP 248 The source of this isolate was ex M.K. Patel	ATCC 11767; ICMP 248; ICPB XR101; LMG 7441; XR 101	ATCC 11767; ICMP 248; LMG 7441; XR 101		ICPB XR101	mismatch	
NCPPB 490	The donor reference is 18 This isolate is also in the collections; ATCC 11637, ICMP 5740, LMG 941, CFBP 1716 This isolate was isolated by M.K. Patel The source of this isolate was ex ICPB PM114 ex M.K. Patel	ATCC 11637; CFBP 1716; ICMP 5740; ICPB PM114; LMG 941; PM 114	ATCC 11637; CFBP 1716; ICMP 5740; LMG 941; PM 114		ICPB PM114	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 509	The donor reference is 391 This isolate is also in the collections; LMG 919 This isolate was isolated by ex A. Rothwell	LMG 919	LMG 919			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 510	The donor reference is 392 This isolate was isolated by ex G. Orian					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 526	The donor reference is 412 This isolate was isolated by ex J.A. Spence XAS/L					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 528	This isolate is also in the collections; ICMP 13, ATCC 33913, LMG 568, CIP 100069 This isolate was isolated by E. Billing P25	ATCC 33913; CIP 100069; ICMP 13; LMG 568; P 25	ATCC 33913; CIP 100069; ICMP 13; LMG 568; P 25			match	Includes one-letter local strain code(s).
NCPPB 529	This isolate was isolated by E. Billing P33/1	P 33/1	P 33/1			match	Includes one-letter local strain code(s).
NCPPB 535	This isolate was isolated by K.A. Sabet Ric 3	RIC 3	RIC 3			match	
NCPPB 536	This isolate is also in the collections; ICMP 671, LMG 753 This isolate was isolated by K.A. Sabet Khl	ICMP 671; LMG 753	ICMP 671; LMG 753			match	
NCPPB 554	This isolate is also in the collections; ICMP 5732, LMG 712, CFBP 2526. ATCC 43911 This isolate was isolated by K.A. Sabet Soy 1	ATCC 43911; CFBP 2526; ICMP 5732; LMG 712; SOY 1	ATCC 43911; CFBP 2526; ICMP 5732; LMG 712; SOY 1			match	
NCPPB 555	This isolate was isolated by K.A. Sabet Vig 5	VIG 5	VIG 5			match	
NCPPB 556	This isolate was isolated by K.A. Sabet Dol S					match	
NCPPB 557	This isolate was isolated by K.A. Sabet Dol W					match	
NCPPB 570	This isolate is also in the collections; ATCC 11645, ICMP 441, LMG 498 The source of this isolate was ex M.K. Patel 16	ATCC 11645; ICMP 441; LMG 498; PATEL 16	ATCC 11645; ICMP 441; LMG 498		PATEL 16	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 571	This isolate is also in the collections; ATCC 11672, ICMP 571, LMG 546 This isolate was isolated by M.K. Patel 4	ATCC 11672; ICMP 571; LMG 546; PATEL 4	ATCC 11672; ICMP 571; LMG 546		PATEL 4	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 573	This isolate is also in the collections; ATCC 11639, ICMP 444, LMG 558 The source of this isolate was ex M.K. Patel 5	ATCC 11639; ICMP 444; LMG 558; PATEL 5	ATCC 11639; ICMP 444; LMG 558		PATEL 5	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 575	This isolate is also in the collections; ATCC 11676, ICMP 445, CIP 106789, LMG 684, DSMZ 13067, CCUG 43811 The source of this isolate was ex M.K. Patel 10	ATCC 11676; CCUG 43811; CIP 106789; DSMZ 13067; ICMP 445; LMG 684; PATEL 10	ATCC 11676; CCUG 43811; CIP 106789; DSMZ 13067; ICMP 445; LMG 684		PATEL 10	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 577	This isolate is also in the collections; ATCC 11671, ICMP 577, LMG 693 The source of this isolate was ex M.K. Patel 3	ATCC 11671; ICMP 577; LMG 693; PATEL 3	ATCC 11671; ICMP 577; LMG 693		PATEL 3	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 578	This isolate is also in the collections; ATCC 11679, ICMP 446, LMG 698 The source of this isolate was ex M.K. Patel 17	ATCC 11679; ICMP 446; LMG 698; PATEL 17	ATCC 11679; ICMP 446; LMG 698		PATEL 17	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 579	This isolate is also in the collections; ATCC 11674, ICMP 319, LMG 756 The source of this isolate was ex M.K. Patel 8	ATCC 11674; ICMP 319; LMG 756; PATEL 8	ATCC 11674; ICMP 319; LMG 756		PATEL 8	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 581	This isolate is also in the collections; ATCC 11643, ICMP 5779, LMG 849, CFBP 7277 The source of this isolate was ex M.K. Patel 12	ATCC 11643; CFBP 7277; ICMP 5779; LMG 849; PATEL 12	ATCC 11643; CFBP 7277; ICMP 5779; LMG 849		PATEL 12	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 582	This isolate is also in the collections; ATCC 11675, ICMP 367, LMG 867 This isolate was isolated by M.K. Patel The source of this isolate was ex M.K. Patel 9	ATCC 11675; ICMP 367; LMG 867; PATEL 9	ATCC 11675; ICMP 367; LMG 867		PATEL 9	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 584	This isolate is also in the collections; ATCC 11673, ICMP 572, LMG 995, CCUG 15850 The source of this isolate was ex M.K. Patel 7	ATCC 11673; CCUG 15850; ICMP 572; LMG 995; PATEL 7	ATCC 11673; CCUG 15850; ICMP 572; LMG 995		PATEL 7	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 585	This isolate is also in the collections; ATCC 11678, ICMP 5754, LMG 874 This isolate was isolated by ex M.K. Patel 15	ATCC 11678; ICMP 5754; LMG 874; PATEL 15	ATCC 11678; ICMP 5754; LMG 874		PATEL 15	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 586	This isolate is also in the collections; ATCC 11641, ICMP 5756, LMG 893 The source of this isolate was ex M.K. Patel 2	ATCC 11641; ICMP 5756; LMG 893; PATEL 2	ATCC 11641; ICMP 5756; LMG 893		PATEL 2	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 599	The donor reference is Y6 This isolate is also in the collections; ATCC 193314, ICMP 189, DSM 19077, CFBP 1156, LMG 739 The source of this isolate was ex E. van Slogteren	ATCC 193314; CFBP 1156; DSM 19077; ICMP 189; LMG 739; Y 6	ATCC 193314; CFBP 1156; DSM 19077; ICMP 189; LMG 739; Y 6			match	Includes one-letter local strain code(s).
NCPPB 614	The source of this isolate was ex L.S. Bird 52-3	BIRD 52-3			BIRD 52-3	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 631	This isolate is also in the collections; ICMP 621, LMG 865 This isolate was isolated by ex K.A. Sabet	ICMP 621; LMG 865	ICMP 621; LMG 865			match	
NCPPB 633	The donor reference is 222M This isolate is also in the collections; ICMP 5739, LMG 761, CFBP 2530 This isolate was isolated by ex F.T. Last M2519	CFBP 2530; ICMP 5739; LMG 761; M 2519	CFBP 2530; ICMP 5739; LMG 761; M 2519			match	Includes one-letter local strain code(s). Script also includes unsupported identifier(s).
NCPPB 634	The donor reference is 223S This isolate was isolated by ex F. T. Last S2519	S 2519	S 2519			match	Includes one-letter local strain code(s). Script also includes unsupported identifier(s).
NCPPB 637	The donor reference is 76200 This isolate is also in the collections; ICMP 616, LMG 691 This isolate was isolated by ex M.K. Patel The source of this isolate was ex M.V. Desai	ICMP 616; LMG 691	ICMP 616; LMG 691			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 638	The donor reference is 76537 This isolate is also in the collections; CFBP 7110 This isolate was isolated by ex A. Rothwell	CFBP 7110	CFBP 7110			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 642	The donor reference is 423 This isolate was isolated by ex E. Hellmers					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 645	This isolate was isolated by K.A. Sabet Cas 2	CAS 2	CAS 2			match	
NCPPB 646	This isolate was isolated by K.A. Sabet Kh2	KH 2	KH 2			match	
NCPPB 647	This isolate was isolated by K.A. Sabet Ses 9	SES 9	SES 9			match	
NCPPB 648	This isolate was isolated by K.A. Sabet Med. 3	MED 3			MED 3	mismatch	
NCPPB 670	The donor reference is 77421 This isolate was isolated by ex C. Logan					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 701	The donor reference is 77833 This isolate is also in the collections; LMG 920 This isolate was isolated by ex G. Goidanich	LMG 920	LMG 920			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 702	The donor reference is 77860 This isolate is also in the collections; ICPB XV168, LMG 8710, CFBP 7163 This isolate was isolated by ex A. Rothwell	CFBP 7163; ICPB XV168; LMG 8710; XV 168	CFBP 7163; LMG 8710; XV 168		ICPB XV168	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 761	The donor reference is Yzl This isolate is also in the collections; ICMP 586, LMG 845, ATCC 49077 This isolate was isolated by N. Okabe The source of this isolate was ex N. Okabe	ATCC 49077; ICMP 586; LMG 845	ATCC 49077; ICMP 586; LMG 845			match	
NCPPB 762	The donor reference is XAl This isolate is also in the collections; ICMP 570, LMG 847, DSM 18956, ATCC 35936 This isolate was isolated by N. Okabe The source of this isolate was ex N. Okabe	ATCC 35936; DSM 18956; ICMP 570; LMG 847	ATCC 35936; DSM 18956; ICMP 570; LMG 847			match	
NCPPB 793	The donor reference is 78017 This isolate was isolated by ex T.N. Kaul					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 795	The donor reference is 81587 This isolate is also in the collections; LMG 900 This isolate was isolated by ex P. Baudin	LMG 900	LMG 900			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 840	This isolate is also in the collections; ICMP 167, LMG 811 The source of this isolate was ex M.K. Desai	ICMP 167; LMG 811	ICMP 167; LMG 811			match	
NCPPB 875						match	
NCPPB 881	The donor reference is Strain sombor This isolate is also in the collections; ATCC 19865, DSM 19127 This isolate was isolated by D. Sutic	ATCC 19865; DSM 19127	ATCC 19865; DSM 19127			match	
NCPPB 884	The donor reference is B400 The source of this isolate was ex R.M. Patel	B 400	B 400			match	Includes one-letter local strain code(s).
NCPPB 885	The donor reference is B401 This isolate is also in the collections; ICMP 168, LMG 694 This isolate was isolated by ex R.M. Patel	B 401; ICMP 168; LMG 694	B 401; ICMP 168; LMG 694			match	Includes one-letter local strain code(s).
NCPPB 887	This isolate is also in the collections; ATCC 33195 This isolate was isolated by A.C. Hayward B315	ATCC 33195; B 315	ATCC 33195; B 315			match	Includes one-letter local strain code(s).
NCPPB 888	This isolate was isolated by A.C. Hayward B325	B 325	B 325			match	Includes one-letter local strain code(s).
NCPPB 889	This isolate is also in the collections; LMG 902, CFBP 5831 This isolate was isolated by A.C. Hayward B323	B 323; CFBP 5831; LMG 902	B 323; CFBP 5831; LMG 902			match	Includes one-letter local strain code(s).
NCPPB 891	This isolate was isolated by A.C. Hayward B337	B 337	B 337			match	Includes one-letter local strain code(s).
NCPPB 892	This isolate was isolated by A.C. Hayward B349	B 349	B 349			match	Includes one-letter local strain code(s).
NCPPB 893	This isolate was isolated by A.C. Hayward B343	B 343	B 343			match	Includes one-letter local strain code(s).
NCPPB 895	This isolate is also in the collections; LMG 8714 This isolate was isolated by A.C. Hayward B370	B 370; LMG 8714	B 370; LMG 8714			match	Includes one-letter local strain code(s).
NCPPB 896	The donor reference is B462 This isolate is also in the collections; ATCC 33196, LMG 483 This isolate was isolated by ex P. Baudin	ATCC 33196; B 462; LMG 483	ATCC 33196; B 462; LMG 483			match	Includes one-letter local strain code(s).
NCPPB 897	The donor reference is B463 This isolate was isolated by ex P. Baudin	B 463	B 463			match	Includes one-letter local strain code(s).
NCPPB 899	This isolate was isolated by A.C. Hayward B377	B 377	B 377			match	Includes one-letter local strain code(s).
NCPPB 900	This isolate was isolated by A.C. Hayward B386	B 386	B 386			match	Includes one-letter local strain code(s).
NCPPB 901	The donor reference is B406 The source of this isolate was ex N.B. Kulkarni	B 406	B 406			match	Includes one-letter local strain code(s).
NCPPB 902	The donor reference is B454 The source of this isolate was ex N. Shanmuganathan	B 454	B 454			match	Includes one-letter local strain code(s).
NCPPB 916	The donor reference is B136	B 136	B 136			match	Includes one-letter local strain code(s).
NCPPB 917	This isolate was isolated by A.C. Hayward B130	B 130	B 130			match	Includes one-letter local strain code(s).
NCPPB 918	This isolate was isolated by A.C. Hayward B373	B 373	B 373			match	Includes one-letter local strain code(s).
NCPPB 922	The donor reference is B499 This isolate was isolated by ex P. Baudin 1213A	B 499; BAUDIN 1213A	B 499		BAUDIN 1213A	mismatch	Includes one-letter local strain code(s). Script also includes unsupported identifier(s).
NCPPB 923	The donor reference is B495 This isolate was isolated by ex H.T. Brodrick A13a	A 13A; B 495	A 13A; B 495			match	Includes one-letter local strain code(s).
NCPPB 924	The donor reference is B497 This isolate was isolated by ex H.T. Brodrick A26	A 26; B 497	A 26; B 497			match	Includes one-letter local strain code(s).
NCPPB 926	The donor reference is B494 This isolate was isolated by ex H.T. Brodrick A12	A 12; B 494	A 12; B 494			match	Includes one-letter local strain code(s).
NCPPB 935	This isolate is also in the collections; ATCC 19313, ICMP 5726, ICPB XC 12, LMG 689, CFBP 1159 The source of this isolate was ex P.W. Miller 5262	ATCC 19313; CFBP 1159; ICMP 5726; LMG 689; MILLER 5262; XC 12	ATCC 19313; CFBP 1159; ICMP 5726; LMG 689; XC 12		MILLER 5262	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 936	This isolate was isolated by ex W.H. Burkholder					match	
NCPPB 937	This isolate is also in the collections; ATCC 13462, ICMP 574 This isolate was isolated by ex C.E. Williamson The source of this isolate was ex Netherlands	ATCC 13462; ICMP 574	ATCC 13462; ICMP 574			match	
NCPPB 938	This isolate was isolated by ex W.H. Burkholder					match	
NCPPB 939	This isolate is also in the collections; ICMP 453, LMG 733, DSM 19143 This isolate was isolated by ex W.H. Burkholder XH5	DSM 19143; ICMP 453; LMG 733; XH 5	DSM 19143; ICMP 453; LMG 733; XH 5			match	
NCPPB 940	This isolate is also in the collections; ATCC 19318, ICMP 579 This isolate was isolated by ex J. Niederhauser	ATCC 19318; ICMP 579	ATCC 19318; ICMP 579			match	
NCPPB 941	This isolate is also in the collections; ICMP 102, LMG 922 This isolate was isolated by ex W.H. Burkholder	ICMP 102; LMG 922	ICMP 102; LMG 922			match	
NCPPB 942	This isolate was isolated by ex W.H. Burkholder					match	
NCPPB 969	This isolate was isolated by ex W.H. Burkholder					match	
NCPPB 970	This isolate was isolated by ex H.H. Thornberry 1-49	THORNBERRY 1-49			THORNBERRY 1-49	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 971	This isolate is also in the collections; ICMP 318, LMG 758 This isolate was isolated by ex P.A. Ark 1	ARK 1; ICMP 318; LMG 758	ICMP 318; LMG 758		ARK 1	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 972	This isolate was isolated by ex P.A. Ark 2	ARK 2			ARK 2	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 973	This isolate is also in the collections; ATCC 19319, ICMP 5752, LMG 876, DSM 18974, CFBP 1155 This isolate was isolated by ex C.S. Reddy	ATCC 19319; CFBP 1155; DSM 18974; ICMP 5752; LMG 876	ATCC 19319; CFBP 1155; DSM 18974; ICMP 5752; LMG 876			match	
NCPPB 974	This isolate was isolated by ex Z. Patrick The source of this isolate was ex W.H. Burkholder					match	
NCPPB 975	This isolate was isolated by ex W.H. Burkholder					match	
NCPPB 976	This isolate is also in the collections; ATCC 19320, ICMP 336, LMG 937, CFBP 2538 This isolate was isolated by ex N.A. Brown The source of this isolate was ex W.H. Burkholder	ATCC 19320; CFBP 2538; ICMP 336; LMG 937	ATCC 19320; CFBP 2538; ICMP 336; LMG 937			match	
NCPPB 983	This isolate is also in the collections; ATCC 13460, ICMP 437 This isolate was isolated by ex W.H. Burkholder	ATCC 13460; ICMP 437	ATCC 13460; ICMP 437			match	
NCPPB 984	This isolate was isolated by ex S. Dombroff Oregan 5401	OREGAN 5401			OREGAN 5401	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 985	This isolate is also in the collections; ATCC 23379, LMG 7399, CFBP 7666 This isolate was isolated by P.A. Ark	ATCC 23379; CFBP 7666; LMG 7399	ATCC 23379; CFBP 7666; LMG 7399			match	
NCPPB 986	This isolate was isolated by ex P.A. Ark Cardona 2	CARDONA 2			CARDONA 2	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 987	This isolate is also in the collections; ATCC 9653, LMG 7411, ICMP 454 This isolate was isolated by ex W.H. Burkholder XH6	ATCC 9653; ICMP 454; LMG 7411; XH 6	ATCC 9653; ICMP 454; LMG 7411; XH 6			match	
NCPPB 989	This isolate is also in the collections; ATCC 13461, VKM B-618, ICMP 451, LMG 7416, This isolate was isolated by ex W.H. Burkholder	ATCC 13461; B 618; ICMP 451; LMG 7416; VKM B-618	ATCC 13461; ICMP 451; LMG 7416; VKM B-618		B 618	mismatch	
NCPPB 990	This isolate was isolated by ex W.H. Burkholder St3	ST 3	ST 3			match	
NCPPB 993	This isolate is also in the collections; ATCC 13463, ICMP 439, LMG 757 This isolate was isolated by ex C. Lefebvre	ATCC 13463; ICMP 439; LMG 757	ATCC 13463; ICMP 439; LMG 757			match	
NCPPB 994	This isolate is also in the collections; ATCC 11644, ICMP 619, LMG 9050 The source of this isolate was ex M.K. Patel 14	ATCC 11644; ICMP 619; LMG 9050; PATEL 14	ATCC 11644; ICMP 619; LMG 9050		PATEL 14	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 1009	This isolate is also in the collections; ICMP 1623 The source of this isolate was ex W.J. Dowson	ICMP 1623	ICMP 1623			match	
NCPPB 1014	This isolate is also in the collections; ATCC 11636, ICMP 3965, LMG 954 The source of this isolate was ex M.K. Patel 19	ATCC 11636; ICMP 3965; LMG 954; PATEL 19	ATCC 11636; ICMP 3965; LMG 954		PATEL 19	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 1025	The donor reference is B565 This isolate was isolated by ex C. Polhill	B 565	B 565			match	Includes one-letter local strain code(s).
NCPPB 1043	This isolate was isolated by A.C. Hayward B621	B 621	B 621			match	Includes one-letter local strain code(s).
NCPPB 1046	The donor reference is B589 This isolate was isolated by ex G. Rangaswami	B 589	B 589			match	Includes one-letter local strain code(s).
NCPPB 1048	This isolate was isolated by A.C. Hayward B639	B 639	B 639			match	Includes one-letter local strain code(s).
NCPPB 1050	The donor reference is B672 This isolate was isolated by ex S. Bisessar	B 672	B 672			match	Includes one-letter local strain code(s).
NCPPB 1056	This isolate is also in the collections; LMG 7457 This isolate was isolated by A.C. Hayward B665B	B 665B; LMG 7457	B 665B; LMG 7457			match	Includes one-letter local strain code(s).
NCPPB 1058	This isolate was isolated by A.C. Hayward B659	B 659	B 659			match	Includes one-letter local strain code(s).
NCPPB 1059	This isolate is also in the collections; ICPB XP198 This isolate was isolated by A.C. Hayward B658	B 658; ICPB XP198; XP 198	B 658; XP 198		ICPB XP198	mismatch	Includes one-letter local strain code(s).
NCPPB 1060	This isolate was isolated by A.C. Hayward B657	B 657	B 657			match	Includes one-letter local strain code(s).
NCPPB 1061	This isolate is also in the collections; ATCC 23382, ICPB XP195, ICMP 1028, LMG 848 This isolate was isolated by A.C. Hayward B652	ATCC 23382; B 652; ICMP 1028; ICPB XP195; LMG 848; XP 195	ATCC 23382; B 652; ICMP 1028; LMG 848; XP 195		ICPB XP195	mismatch	Includes one-letter local strain code(s).
NCPPB 1062	This isolate was isolated by A.C. Hayward B644	B 644	B 644			match	Includes one-letter local strain code(s).
NCPPB 1063	This isolate is also in the collections; ATCC 19317, LMG 861, ICMP 5747 This isolate was isolated by A.C. Hayward B651	ATCC 19317; B 651; ICMP 5747; LMG 861	ATCC 19317; B 651; ICMP 5747; LMG 861			match	Includes one-letter local strain code(s).
NCPPB 1067	This isolate was isolated by A.C. Hayward B707A	B 707A	B 707A			match	Includes one-letter local strain code(s).
NCPPB 1068	This isolate is also in the collections; ICMP 18269 This isolate was isolated by A.C. Hayward B689A	B 689A; ICMP 18269	B 689A; ICMP 18269			match	Includes one-letter local strain code(s).
NCPPB 1117	The donor reference is B828 This isolate was isolated by ex G. Rangaswami	B 828	B 828			match	Includes one-letter local strain code(s).
