audit_category	priority	ncppb_number	ncppb_current_name	biosample_pair_count	biosample_accessions	identity_evidence	ncbi_organism_names	taxonomy_status	pathovar_status	assembly_accessions	sra_run_accessions	sequence_linkage_audit_verdict	final_sequence_disposition	allowed_analysis_scope	strictly_excluded_analysis_scope	tree_tip_label_rule	minimum_next_action	rationale	biosample_evidence_urls	resource_evidence_url	ncbi_taxonomy_url	external_taxonomy_or_literature_source	pipeline_review_decision_advice
same_pathovar_historical_or_updated_species_name	P3	NCPPB 1334	Xanthomonas euvesicatoria pv. ionidii (Padhya & Patel 1963) Harrison et al. 2023	1	SAMN19988970	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas campestris pv. ionidii	same_genus_different_species	same_pathovar	GCF_019201465.1	SRR15305422	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988970	https://www.ncbi.nlm.nih.gov/assembly/GCF_019201465.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487870&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
pathovar_orthographic_variant	P3	NCPPB 1337	Xanthomonas axonopodis pv. nakataecorchorii (Padhya & Patel 1963) Vauterin et al. 1995	2	SAMN56511361; SAMN42278572	primary_ncppb_pairs=2; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas axonopodis pv. nakataecorchori	same_name	pathovar_mismatch	GCF_041448975.1	SRR29692754; SRR37629064; SRR37789881	sequence_link_confirmed_orthography_annotation_pending	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	pathovar_statistics_or_phenotype_claim_until_valid_name_checked	NCPPB current name plus NCBI submitted name; add orthography_review	verify original nomenclature and valid spelling; retain both NCPPB and NCBI labels	The exact NCPPB identity is present; the discrepancy is a pathovar spelling/orthography form and does not by itself refute sequence linkage.	https://www.ncbi.nlm.nih.gov/biosample/SAMN56511361; https://www.ncbi.nlm.nih.gov/biosample/SAMN42278572	https://www.ncbi.nlm.nih.gov/assembly/GCF_041448975.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487835&mode=Info	NCBI BioSample/Taxonomy record; original pathovar nomenclature literature still required	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
explicit_pathovar_conflict	P1	NCPPB 1495	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	1	SAMN03142808	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas phaseoli pv. phaseoli	compatible_synonym	pathovar_mismatch	GCF_000786915.1	SRR2052458	sequence_link_confirmed_pathovar_label_restricted	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; assembly_or_read_qc; ANI_or_GTDB_species_check	pathovar_grouping; host_or_pathogenicity_association; species_core_genome_without_ANI	NCPPB current name plus NCBI submitted name; add pathovar_label_restricted	check original culture/publication and host; calculate ANI/GTDB; require independent evidence before using any pathovar label	The NCPPB strain identity is exact, but the explicit pathovar labels differ. The genome can represent the collection strain, not an unverified pathovar assignment.	https://www.ncbi.nlm.nih.gov/biosample/SAMN03142808	https://www.ncbi.nlm.nih.gov/assembly/GCF_000786915.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=317013&mode=Info	https://gd.eppo.int/taxon/XANTFF/datasheet	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
pathovar_orthographic_variant	P3	NCPPB 1594	Xanthomonas axonopodis pv. nakataecorchorii (Padhya & Patel 1963) Vauterin et al. 1995	1	SAMN56511363	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas axonopodis pv. nakataecorchori	same_name	pathovar_mismatch	GCF_056612795.1	SRR37629062; SRR37789879	sequence_link_confirmed_orthography_annotation_pending	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	pathovar_statistics_or_phenotype_claim_until_valid_name_checked	NCPPB current name plus NCBI submitted name; add orthography_review	verify original nomenclature and valid spelling; retain both NCPPB and NCBI labels	The exact NCPPB identity is present; the discrepancy is a pathovar spelling/orthography form and does not by itself refute sequence linkage.	https://www.ncbi.nlm.nih.gov/biosample/SAMN56511363	https://www.ncbi.nlm.nih.gov/assembly/GCF_056612795.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487835&mode=Info	NCBI BioSample/Taxonomy record; original pathovar nomenclature literature still required	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
same_pathovar_historical_or_updated_species_name	P3	NCPPB 1757	Xanthomonas euvesicatoria pv. blepharidis (Srinivasan & Patel 1956) Harrison et al. 2023	1	SAMN19988973	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas campestris pv. blepharidis	same_genus_different_species	same_pathovar	GCF_019201485.1	SRR15305423	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988973	https://www.ncbi.nlm.nih.gov/assembly/GCF_019201485.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487855&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
same_pathovar_historical_or_updated_species_name	P3	NCPPB 1758	Xanthomonas euvesicatoria pv. coriandri (Srinivasan et al. 1961) Harrison et al. 2023	1	SAMN19988974	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas campestris pv. coriandri	same_genus_different_species	same_pathovar	GCF_019201305.1	SRR15305430	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988974	https://www.ncbi.nlm.nih.gov/assembly/GCF_019201305.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=279089&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
species_or_pathovar_unresolved	P2	NCPPB 1759	Xanthomonas campestris pv. bilvae Chakravarti et al. 1984	2	SAMN49561544; SAMEA114332028	primary_ncppb_pairs=2; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas citri pv. bilvae; Xanthomonas citri	same_genus_different_species	same_pathovar; observed_pathovar_unresolved	GCF_963669615.1; GCF_052883265.1	ERR12095367	sequence_link_confirmed_species_assignment_pending	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_core_genome; pathovar_grouping; metadata_association_by_species_or_pathogenicity	NCPPB current name plus NCBI submitted name; add species_assignment_under_review	prioritize ANI/GTDB, original publication and host review; label tree tip species_assignment_under_review	The NCPPB identity is exact, but NCBI gives Xanthomonas sp., a different species, or no pathovar. The genome may be used, but taxonomy metadata cannot be used as an analysis grouping yet.	https://www.ncbi.nlm.nih.gov/biosample/SAMN49561544; https://www.ncbi.nlm.nih.gov/biosample/SAMEA114332028	https://www.ncbi.nlm.nih.gov/assembly/GCF_963669615.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487854&mode=Info	NCBI BioSample/Taxonomy record; ANI/GTDB and literature review required	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
same_pathovar_historical_or_updated_species_name	P3	NCPPB 1760	Xanthomonas euvesicatoria pv. spermacoces (Srinivasan & Patel 1956) Harrison et al. 2023	1	SAMN19988975	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas campestris pv. spermacoces	same_genus_different_species	same_pathovar	GCF_019201445.1	SRR15305421	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988975	https://www.ncbi.nlm.nih.gov/assembly/GCF_019201445.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487890&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
pathovar_orthographic_variant	P3	NCPPB 1787	Xanthomonas euvesicatoria pv. vernoniae (Patel et al. 1968) Harrison et al. 2023	1	SAMN19988976	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas campestris pv. veroniae	same_genus_different_species	pathovar_mismatch	GCF_019201345.1	SRR15305432	sequence_link_confirmed_orthography_annotation_pending	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	pathovar_statistics_or_phenotype_claim_until_valid_name_checked	NCPPB current name plus NCBI submitted name; add orthography_review	verify original nomenclature and valid spelling; retain both NCPPB and NCBI labels	The exact NCPPB identity is present; the discrepancy is a pathovar spelling/orthography form and does not by itself refute sequence linkage.	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988976	https://www.ncbi.nlm.nih.gov/assembly/GCF_019201345.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487897&mode=Info	NCBI BioSample/Taxonomy record; original pathovar nomenclature literature still required	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
same_pathovar_historical_or_updated_species_name	P3	NCPPB 1828	Xanthomonas euvesicatoria pv. euphorbiae (Sabet et al.1969) Harrison et al. 2023	1	SAMN19988977	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas campestris pv. euphorbiae	same_genus_different_species	same_pathovar	GCF_019201425.1	SRR15305420	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988977	https://www.ncbi.nlm.nih.gov/assembly/GCF_019201425.1	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487865&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
same_pathovar_historical_or_updated_species_name	P3	NCPPB 1932	Xanthomonas campestris pv. guizotiae (Yirgou 1964) Dye 1978	1	SAMN56511365	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas arboricola pv. guizotiae	same_genus_different_species	same_pathovar		SRR37629060; SRR37789877	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN56511365	https://www.ncbi.nlm.nih.gov/sra/SRR37629060	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487867&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
same_pathovar_historical_or_updated_species_name	P3	NCPPB 1933	Xanthomonas campestris pv. guizotiae (Yirgou 1964) Dye 1978	1	SAMN56511366	primary_ncppb_pairs=1; strong_collection_pairs=0; conflicting_ncppb_numbers=0	Xanthomonas arboricola pv. guizotiae	same_genus_different_species	same_pathovar		SRR37629093; SRR37789910	sequence_link_confirmed_dual_taxonomy_label_required	conditional_release_for_genus_tree_qc_ani_only	genus_overview_tree; QC; ANI_or_GTDB_species_check	species_stratified_core_genome_or_comparative_analysis_without_ANI	NCPPB current name plus NCBI submitted name; add taxonomy_dual_label	calculate ANI/GTDB against suitable references; use NCPPB name as primary label and retain NCBI name as submitted/historical label	The NCPPB identity is exact and pathovar is unchanged; a same-genus species-name difference is compatible with a historical name or later taxonomic revision, but needs ANI before species-level analysis.	https://www.ncbi.nlm.nih.gov/biosample/SAMN56511366	https://www.ncbi.nlm.nih.gov/sra/SRR37629093	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=487867&mode=Info	https://wrap.warwick.ac.uk/id/eprint/172838/	after supervisor approval: approve_for_downstream; preserve use restrictions from this table
