ncppb_number	snapshot_status	ncppb_current_name	expected_genus	scope_status	attention_level	attention_category	final_sequence_use_status	next_action	ncbi_biosample_match_count	ncbi_assembly_count_all_confirmed_links	ncbi_sra_run_count_all_confirmed_links	ncbi_eligible_assembly_count	ncbi_eligible_sra_run_count	ncbi_taxonomy_blocked_resource_count	ncbi_data_status	phylogeny_readiness	manual_review_required	metadata_annotation_status	catalogue_host	catalogue_country	biosample_hosts	biosample_geographic_locations	biosample_collection_years	confirmed_biosample_accessions	linked_assembly_accessions	linked_sra_run_accessions	eligible_assembly_accessions	eligible_sra_run_accessions	audit_table_pointer
NCPPB 241	present_in_both	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata		USA									
NCPPB 243	present_in_both	Xanthomonas euvesicatoria pv. uppalii (Patel 1948) Harrison et al. 2023	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Ipomea muricata	India									
NCPPB 273	present_in_both	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata		USA									
NCPPB 279	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Brassica oleracea var. capitata	Malawi									
NCPPB 290	present_in_both	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Saccharum officinarum	Guyana									
NCPPB 293	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Gossypium sp.	South Africa									
NCPPB 301	present_in_both	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	1	1	1	0	confirmed_sequence_available	assembly_available_qc_required	no	complete_host_geography_date_source		Canada	Phaseolus vulgaris	Canada	1951	SAMN03175018	GCF_000785945.1	SRR2052879	GCF_000785945.1	SRR2052879	
NCPPB 302	present_in_both	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata		Canada									
NCPPB 305	present_in_both	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata		Denmark									
NCPPB 315	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Gossypium sp.	Uganda									
NCPPB 347	present_in_both	Xanthomonas campestris pv. armoraciae (McCulloch 1929) Dye 1978	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	2	1	2	1	2	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Iberis sp.	Tanzania	Iberis sp.	Tanzania	1954	SAMN22552829; SAMN17385947	GCF_020731405.1	SRR14648465; SRR29823152	GCF_020731405.1	SRR29823152; SRR14648465	
NCPPB 348	present_in_both	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata											
NCPPB 362	present_in_both	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Juglans regia	UK									
NCPPB 381	present_in_both	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	P1	manual_review_required_non_audit	not_automatically_usable	review the remaining identity/taxonomy reason in manual_review_candidates.tsv; approve or reject before sequence use	4	4	6	3	4	7	confirmed_sequence_available	assembly_available_qc_required	yes	complete_host_geography_date_source	Phaseolus vulgaris	Canada	Phaseolus vulgaris; bean	Canada; Belgium: Merelbeke	1957; 2014	SAMN03142398; SAMN40354536; SAMN06829306; SAMN02903172	GCF_000788075.1; GCF_001401605.1; GCF_002759215.2; GCF_040202995.2	SRR13975653; SRR13997422; SRR1510073; SRR2052644; SRR28281417; SRR30293625	GCF_000788075.1; GCF_040202995.2; GCF_001401605.1	SRR2052644; SRR28281417; SRR30293625; SRR1510073	
NCPPB 400	present_in_both	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Pelargonium zonale	Denmark									
NCPPB 403	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Brassica sp.	New Zealand									
NCPPB 404	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	1	1	1	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Brassica napobrassica	New Zealand	Brassica napus subsp. rapifera	New Zealand	1953	SAMN36346971	GCA_035026745.1	SRR25183330	GCA_035026745.1	SRR25183330	
NCPPB 405	present_in_both	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Citrus sp.	New Zealand									
NCPPB 406	present_in_both	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	1	1	1	0	confirmed_sequence_available	assembly_available_qc_required	no	complete_host_geography_date_source	Citrus sp.(New Zealand grapefruit)	New Zealand	Citrus sp.	New Zealand	1957	SAMN13783185	GCF_014797385.1	SRR11234661	GCF_014797385.1	SRR11234661	
NCPPB 407	present_in_both	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Citrus sp.	New Zealand									
NCPPB 408	present_in_both	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Citrus reticulata	New Zealand									
NCPPB 409	present_in_both	Xanthomonas citri (Hasse 1915) Gabriel et al. 1989	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	2	2	2	2	2	0	confirmed_sequence_available	assembly_available_qc_required	no	complete_host_geography_date_source	Citrus limon	New Zealand	Citrus x limon	New Zealand	1956	SAMEA114331998; SAMN13783182	GCF_014797425.1; GCF_963669875.1	ERR12095337; SRR11234614	GCF_963669875.1; GCF_014797425.1	ERR12095337; SRR11234614	
NCPPB 410	present_in_both	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Citrus sinensis	New Zealand									
NCPPB 411	present_in_both	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	2	1	0	1	0	0	confirmed_sequence_available	assembly_available_qc_required	no	complete_host_geography_date_source	Juglans regia	New Zealand	Juglandis regia; Juglans regia	New Zealand	1956	SAMN43400626; SAMN03352151	GCF_001013475.1		GCF_001013475.1		
NCPPB 412	present_in_both	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Juglans regia	New Zealand									
NCPPB 414	present_in_both	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Juglans regia	New Zealand									
NCPPB 415	present_in_both	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Juglans regia	New Zealand									
NCPPB 416	present_in_both	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	3	1	3	1	3	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Prunus sp. cv. Victory	New Zealand	Prunus salicina	New Zealand	1953	SAMN41996497; SAMN39942831; SAMN00188641	GCF_041464225.1	SRR27966376; SRR29500231; SRR30016867	GCF_041464225.1	SRR29500231; SRR30016867; SRR27966376	
NCPPB 418	present_in_both	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Prunus salicina	New Zealand									
NCPPB 419	present_in_both	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Prunus persica.	New Zealand									
NCPPB 420	present_in_both	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Prunus persica	New Zealand									
NCPPB 421	present_in_both	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Prunus salicina	New Zealand									
NCPPB 422	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	2	2	0	2	0	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Solanum lycopersicum	New Zealand	Solanum lycopersicum	New Zealand	1955	SAMN02471773; SAMN05823154	GCF_000192025.1; GCF_001908725.1		GCF_000192025.1; GCF_001908725.1		
NCPPB 423	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Solanum lycopersicum	New Zealand									
NCPPB 424	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P3	no_confirmed_public_sequence	no_genome_input	retain count=0; optional separate marker-gene/literature search	0	0	0	0	0	0	no_confirmed_ncbi_match	no_confirmed_public_sequence	no	missing_context_metadata	Solanum lycopersicum	New Zealand									
NCPPB 425	present_in_both	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	P2	species_or_pathovar_unresolved	conditional_release_for_genus_tree_qc_ani_only	prioritize ANI/GTDB, original publication and host review; label tree tip species_assignment_under_review	1	0	1	0	0	3	linked_sequence_blocked_pending_taxonomy_review	taxonomy_review_required_before_use	yes	partial_context_metadata		Canada	Not collected	Canada	1967	SAMN40354566		SRR28281424			01_taxonomy_pathovar_audit_49.tsv
NCPPB 457	present_in_both	Xanthomonas axonopodis pv. axonopodis Starr & Garces 1950	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	1	1	1	1	1	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Axonopus scoparius	Colombia		Belgium: Merelbeke	2014	SAMN02903173	GCF_001401595.1	SRR1509983	GCF_001401595.1	SRR1509983	
NCPPB 464	present_in_both	Xanthomonas campestris pv. olitorii (Sabet 1957) Dye 1978	Xanthomonas	current_xanthomonas	P3	assembly_available_qc_required	automatic_candidate_after_genome_qc	download selected assembly; complete QC, contamination screening, ANI and deduplication	2	2	4	2	4	0	confirmed_sequence_available	assembly_available_qc_required	no	partial_context_metadata	Corchorus olitorius	Sudan	Corchorus olitorius	Sudan	1956	SAMN41997686; SAMN19988989	GCA_019201065.3; GCA_041281645.2	SRR15305434; SRR27397079; SRR29501486; SRR30017108	GCA_041281645.2; GCA_019201065.3	SRR29501486; SRR30017108; SRR15305434; SRR27397079	
